FID,access,bridge,from_,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,tunnel,width,out_pgh,river_bge
11805, , ,106056601,residential, ,0, ,44.812, ,Shirley Street,False,11835643, , ,104857948, , ,0,0
11806, , ,104857958,residential, ,0, ,153.354, ,Straka Street,False,295606971, , ,104857948, , ,0,0
11807, , ,105026513,residential, ,0, ,42.435, ,Vinton Street,False,11740362, , ,104857958, , ,0,0
11808, , ,105119378,residential, ,0, ,44.364, ,Vinton Street,False,11740362, , ,104857958, , ,0,0
11809, , ,104857971,residential, ,0, ,117.529, ,Straka Street,False,295606971, , ,104857958, , ,0,0
11810, , ,2343149648,service, ,0, ,43.898, ,Fire Way,False,11950957, ,alley,104857971, , ,0,0
11811, , ,105026520,service, ,0, ,45.013, ,Fire Way,False,11950957, ,alley,104857971, , ,0,0
11812, , ,105985720,residential, ,0, ,46.963, ,Straka Street,False,295606971, , ,104857971, , ,0,0
11813, , ,104858005,tertiary, ,0, ,74.631, ,Straka Street,False,11713636, , ,104857988, , ,0,0
11814, , ,105118735,tertiary, ,0,2,166.20600000000002, ,Chartiers Avenue,False,11833173, , ,104857988, , ,0,0
11815, , ,104858014,tertiary, ,0, ,33.956, ,Straka Street,False,11713636, , ,104858005, , ,0,0
11816, , ,2993470598,tertiary, ,0,2,65.864, ,Berry Street,False,11755491, , ,104858014, , ,0,0
11817, , ,2993470587,residential, ,0, ,103.947, ,Straka Street,False,54583032, , ,104858014, , ,0,0
11818, , ,2993470567,unclassified, ,0, ,30.145, ,Frontenac Street,False,11944518, , ,104858024, , ,0,0
11819, , ,105252635,"['unclassified', 'residential']", ,0, ,148.344, ,Frontenac Street,False,"[295606963, 11944518]", , ,104858024, , ,0,0
11820, , ,2993470587,residential, ,0, ,53.863, ,Straka Street,False,54583032, , ,104858024, , ,0,0
11821, , ,104858187,residential, ,0, ,96.465, ,Fram Street,False,11713654, , ,104858174, , ,0,0
11822, , ,105164408,residential, ,0, ,83.579, ,Alsace Street,False,11960412, , ,104858174, , ,0,0
11823, , ,105769909,residential, ,0, ,172.333, ,"['Alsace Street', 'Hale Street']",False,"[11960412, 403107079]", , ,104858174, , ,0,0
11824, , ,105769909,residential, ,0, ,53.363, ,Mulford Street,False,11819404, , ,104858187, , ,0,0
11825, , ,104859131,residential, ,0, ,43.342, ,Fineview Avenue,False,11713713, , ,104859124, , ,0,0
11826, , ,104876343,residential, ,0, ,58.676, ,Lanark Street,False,11960009, , ,104859124, , ,0,0
11827, , ,3574752997,residential, ,0, ,139.30599999999998, ,Lanark Street,False,11960009, , ,104859124, , ,0,0
11828, , ,1025935998,residential, ,0, ,355.177, ,Cready Hill Road,False,11713719, , ,104859187, , ,1,0
11829, , ,105997463,residential, ,0, ,554.704, ,Revo Road,False,11832130, , ,104859187, , ,1,0
11830, , ,105997407,residential, ,0, ,265.79200000000003, ,Revo Road,False,11832130, , ,104859187, , ,1,0
11831, , ,105132550,secondary, ,0, ,29.419, ,West Street,False,505915752, , ,104860251, , ,1,0
11832, , ,104860309,service, ,0, ,39.299, ,Allemannia Way,False,11713823, ,alley,104860299, , ,0,0
11833, , ,106096114,residential, ,0, ,48.856, ,Larimer Avenue,False,55128056, , ,104860309, , ,0,0
11834, , ,107549389,residential, ,0, ,44.437, ,Larimer Avenue,False,55128056, , ,104860309, , ,0,0
11835, , ,104860325,service, ,0, ,108.121, ,Allemannia Way,False,11713823, ,alley,104860317, , ,0,0
11836, , ,105059134,residential, ,0, ,45.698, ,Montezuma Street,False,11734192, , ,104860317, , ,0,0
11837, , ,105059125,residential, ,0, ,49.537, ,Montezuma Street,False,11734192, , ,104860317, , ,0,0
11838, , ,104860444,residential, ,0, ,338.472, ,Eakin Avenue,False,11713836, , ,104860414, , ,1,0
11839, , ,105004111,residential, ,0, ,110.717, ,Gaymor Drive,False,11728145, , ,104860444, , ,1,0
11840, , ,4070756443,residential, ,0, ,9.629, ,Varley Street,False,11713883, , ,104861154, , ,0,0
11841, , ,4070756441,residential, ,0, ,33.286, ,Rescue Street,False,11830903, , ,104861154, , ,0,0
11842, , ,4070756434,residential, ,0, ,74.61, ,Varley Street,False,11713883, , ,104861154, , ,0,0
11843, , ,104934433,service, ,0, ,35.686, ,Zell Way,False,109504716, , ,104861164, , ,0,0
11844, , ,104994856,service, ,0, ,35.955, ,Beckfield Street,False,11827566, , ,104861171, , ,0,0
11845, , ,104861594,residential, ,0, ,120.169, ,Highridge Drive,False,11713906, , ,104861587, , ,1,0
11846, , ,105256939,residential, ,0, ,71.851, ,Hill Street,False,11755985, , ,104861587, , ,1,0
11847, , ,105256948,residential, ,0, ,210.272, ,Hill Street,False,11755985, , ,104861587, , ,1,0
11848, , ,104920294,residential, ,0, ,32.306, ,Southview Drive,False,11719437, , ,104861594, , ,1,0
