Source,Target,Type,Id,Label,distance
2,2,Undirected,6527,Bettis Road,457.158
1,1,Undirected,6529,"['Swinburne Street', 'Frazier Street']",793.76
1,1,Undirected,6867,One Wild Place,955.743
3,3,Undirected,6868,I 79,84.453
0,0,Undirected,6881,Restricted Lane,5459.482
2,116,Undirected,6991,Penn-Lincoln Parkway West,1419.374
2,2,Undirected,6994,Bajo Street,191.011
51,0,Undirected,7147,,618.573
51,0,Undirected,7148,Veterans Bridge,1076.912
0,0,Undirected,7178,PA 28,874.078
0,52,Undirected,7179,,521.769
0,0,Undirected,7180,,364.95
52,161,Undirected,7204,Veterans Bridge,436.849
1,54,Undirected,7300,Highland Park Bridge,237.236
53,1,Undirected,7326,,252.155
53,1,Undirected,7327,Highland Park Bridge,363.117
0,0,Undirected,7371,Columbus Avenue,234.693
1,54,Undirected,7373,,313.898
54,69,Undirected,7379,Highland Park Bridge,680.079
1,1,Undirected,7429,Allegheny River Boulevard,2636.697
3,104,Undirected,7436,,486.324
3,127,Undirected,7437,Penn-Lincoln Parkway West,697.935
2,55,Undirected,7489,Corley Street,39.33
2,94,Undirected,7490,Calera Street,486.411
56,2,Undirected,7510,"['Trumbull Drive', 'Maple Avenue']",1351.404
57,59,Undirected,7586,Allegheny Valley Expressway,436.892
57,58,Undirected,7587,Green Belt,293.143
58,31,Undirected,7591,Highland Park Bridge,60.361
59,8,Undirected,7607,Allegheny Valley Expressway,2090.932
4,4,Undirected,7617,Allegheny Valley Expressway,965.779
4,59,Undirected,7623,Blue Belt,321.486
60,4,Undirected,7639,Allegheny Valley Expressway,590.463
60,58,Undirected,7640,Blue Belt,439.505
0,151,Undirected,7645,Brighton Road,71.812
0,61,Undirected,7726,,50.141
0,151,Undirected,7727,West North Avenue,33.815
61,151,Undirected,7728,Brighton Road,34.231
61,0,Undirected,7729,Brighton Road,46.515
1,20,Undirected,7813,Greensburg Pike,181.126
62,99,Undirected,7871,I 79,448.129
1,1,Undirected,7902,Brinton Road,90.259
2,96,Undirected,7930,Liberty Bridge,31.803
2,2,Undirected,7931,Liberty Tunnels,1855.901
0,0,Undirected,8042,Maple Avenue,234.419
1,65,Undirected,8140,Liberty Bridge,233.337
64,1,Undirected,8184,Crosstown Boulevard,20.267
65,96,Undirected,8242,Liberty Bridge,587.261
65,66,Undirected,8243,,189.333
66,74,Undirected,8260,,42.043
66,67,Undirected,8261,,27.956
