X,Y,id,modularity,hood_no,hood
584653.6456,4480283.639,684907511,40,75,Spring Hill-City View
584741.5789,4480252.029,104982614,40,75,Spring Hill-City View
584946.8691,4480294.856,104982626,40,75,Spring Hill-City View
584426.9475,4481954.092,104792631,40,81,Summer Hill
584382.8938,4482032.261,104792650,40,81,Summer Hill
584229.7576,4482446.757,104792687,40,81,Summer Hill
584184.3994,4482532.806,104792709,40,81,Summer Hill
584162.2198,4482566.505,104792716,40,81,Summer Hill
584059.3995,4482473.605,105781620,40,81,Summer Hill
584032.2444,4482503.574,107618103,40,81,Summer Hill
584297.7644,4482003.592,104801725,40,81,Summer Hill
584432.2242,4481904.916,104551404,40,81,Summer Hill
584272.1187,4481899.369,104882099,40,81,Summer Hill
584373.2482,4482338.724,105015377,40,81,Summer Hill
584317.8782,4482212.707,104625638,40,81,Summer Hill
584404.6878,4482243.239,104625662,40,81,Summer Hill
584309.9943,4481971.424,1254863871,40,81,Summer Hill
584067.1597,4482409.114,1254864010,40,81,Summer Hill
586442.4214,4480466.563,104992527,40,84,Troy Hill
586276.0032,4480263.147,105720632,40,84,Troy Hill
586025.1958,4479983.583,105131895,40,84,Troy Hill
586222.4676,4480116.809,1253610133,40,84,Troy Hill
586171.9796,4480046.553,105231475,40,84,Troy Hill
586313.9672,4480343.572,104982201,40,84,Troy Hill
588453.0419,4479937.626,104935882,41,10,Bloomfield
588492.4974,4479758.177,104935919,41,10,Bloomfield
588513.6381,4479674.154,104935943,41,10,Bloomfield
588579.5155,4479966.399,104739458,41,10,Bloomfield
588650.3685,4479897.563,104739472,41,10,Bloomfield
588542.2406,4479871.138,4202582274,41,10,Bloomfield
588382.7297,4479732.545,104819502,41,10,Bloomfield
588413.4273,4479607.458,104819524,41,10,Bloomfield
588833.1694,4479992.042,1252092840,41,10,Bloomfield
588365.6806,4479810.578,104692605,41,10,Bloomfield
588474.8266,4479836.347,104692616,41,10,Bloomfield
588470.0556,4479854.042,104692631,41,10,Bloomfield
588878.1966,4479951.789,104721851,41,10,Bloomfield
588902.3369,4479929.65,104721858,41,10,Bloomfield
588647.3646,4479982.933,105709389,41,10,Bloomfield
587990.9189,4480895.988,106042678,41,18,Central Lawrenceville
588432.9178,4481372.548,106042689,41,18,Central Lawrenceville
588046.2563,4480953.513,105716117,41,18,Central Lawrenceville
587812.2386,4480608.252,104536481,41,18,Central Lawrenceville
587925.5747,4480503.861,104536492,41,18,Central Lawrenceville
587704.5841,4480913.874,104798636,41,18,Central Lawrenceville
588261.8553,4480756.988,105716147,41,18,Central Lawrenceville
588459.9943,4480573.862,105716152,41,18,Central Lawrenceville
588056.49,4480387.222,104536506,41,18,Central Lawrenceville
588553.4421,4480490.882,105716163,41,18,Central Lawrenceville
587914.5835,4480716.985,104798666,41,18,Central Lawrenceville
588617.9329,4480431.196,105716173,41,18,Central Lawrenceville
588026.8225,4480612.15,104798677,41,18,Central Lawrenceville
588133.6556,4480513.769,104798703,41,18,Central Lawrenceville
588202.4717,4480468.052,104798723,41,18,Central Lawrenceville
588300.7769,4480402.968,104798736,41,18,Central Lawrenceville
587851.7637,4480421.307,104673661,41,18,Central Lawrenceville
588034.8506,4480363.609,104935836,41,18,Central Lawrenceville
588154.2248,4480243.14,104935856,41,18,Central Lawrenceville
588087.0489,4480420.909,104739411,41,18,Central Lawrenceville
588212.2577,4480305.36,104739421,41,18,Central Lawrenceville
588113.2193,4481310.913,1252080462,41,18,Central Lawrenceville
588275.2157,4481086.901,1252080482,41,18,Central Lawrenceville
587744.5684,4480854.427,1252080517,41,18,Central Lawrenceville
587782.0889,4480838.104,1252080533,41,18,Central Lawrenceville
587661.8412,4480587.981,1252080542,41,18,Central Lawrenceville
588083.5871,4480809.308,104678206,41,18,Central Lawrenceville
588138.7899,4480868.897,104678218,41,18,Central Lawrenceville
588194.2901,4480929.8,104678224,41,18,Central Lawrenceville
588233.983,4480972.311,104678230,41,18,Central Lawrenceville
588349.2037,4481096.068,104678248,41,18,Central Lawrenceville
588494.7659,4480543.621,104875691,41,18,Central Lawrenceville
588616.3165,4480554.074,106057833,41,18,Central Lawrenceville
