X,Y,id,modularity,hood_no,hood
584076.0627,4483314.819,1384159650,36,81,Summer Hill
583883.4851,4483405.976,105816307,36,81,Summer Hill
583880.6091,4483529.349,105816321,36,81,Summer Hill
583227.6483,4483427.188,104899805,36,81,Summer Hill
583276.0216,4483603.076,104899829,36,81,Summer Hill
583780.7727,4483512.932,703050883,36,81,Summer Hill
583785.8491,4483539.399,703050906,36,81,Summer Hill
583889.2744,4482442.786,104642519,36,81,Summer Hill
583253.0594,4483515.939,104578212,36,81,Summer Hill
583431.7954,4483497.616,104578238,36,81,Summer Hill
583496.278,4483454.629,104578249,36,81,Summer Hill
583846.9264,4482677.232,106348685,36,81,Summer Hill
584193.2933,4483280.724,105042580,36,81,Summer Hill
584216.106,4483368.218,105042589,36,81,Summer Hill
583649.8121,4483470.356,686151135,36,81,Summer Hill
583869.8337,4482817.281,686151475,36,81,Summer Hill
583935.1659,4482828.461,686151708,36,81,Summer Hill
583941.4938,4482418.038,686151890,36,81,Summer Hill
583988.4934,4482332.062,686152341,36,81,Summer Hill
584288.1961,4483009.548,105702050,36,81,Summer Hill
584204.9329,4483275.926,105702069,36,81,Summer Hill
583476.5336,4483563.715,106096486,36,81,Summer Hill
583771.7829,4483744.9,105836392,36,81,Summer Hill
584272.7845,4483258.695,105772449,36,81,Summer Hill
592260.9395,4477603.254,107615135,37,63,Point Breeze
592295.7366,4477906.431,104539114,37,63,Point Breeze
592224.0392,4477287.373,105982521,37,63,Point Breeze
593482.4378,4477170.505,3186050474,37,63,Point Breeze
593475.0703,4477143.69,3186050478,37,63,Point Breeze
592281.2774,4477782.378,105989885,37,63,Point Breeze
591557.783,4478030.85,105731073,37,63,Point Breeze
591698.5535,4477964.74,105797151,37,63,Point Breeze
592270.7646,4477690.447,106326359,37,63,Point Breeze
592236.5502,4477395.548,105150782,37,63,Point Breeze
591793.2589,4477986.139,105877993,37,63,Point Breeze
591471.925,4478082.956,104905187,37,63,Point Breeze
591496.9147,4477789.029,104905216,37,63,Point Breeze
