name,lat,lon,label,component
104185739,40.4444611,-80.0399041,,1
104185746,40.444201,-80.0395987,,1
104185749,40.4436411,-80.0389524,,1
104185758,40.4434668,-80.0387703,,1
104185884,40.4187264,-79.9983539,,1
104185891,40.4187387,-79.9977799,,1
104185917,40.394479,-79.9739474,,1
104185921,40.3956168,-79.9738535,,1
104185927,40.3964363,-79.9737743,,1
104186052,40.3813797,-79.901292,,1
104186062,40.3808403,-79.9032124,,1
104186067,40.3804072,-79.9046608,,1
104186078,40.3789431,-79.9054242,,1
104186086,40.378037,-79.9058624,,1
104186095,40.4826121,-80.0293461,,1
104186099,40.4826482,-80.0302919,,1
2501961480,40.4827389,-80.0326662,,1
104186104,40.4827012,-80.032767,,1
2515546365,40.4826529,-80.032896,,1
2842317533,40.482426,-80.0340421,,1
2842317534,40.4823567,-80.0342826,,1
104186108,40.4822821,-80.0344134,,1
104186114,40.4821027,-80.0346352,,1
104186320,40.4011228,-79.9178123,,1
104186323,40.399655,-79.9152986,,1
104186332,40.399304,-79.9147433,,1
1356117211,40.3979042,-79.9123744,,1
2611648468,40.3978282,-79.912194,,1
1356117207,40.3977959,-79.911972,,1
104186341,40.3978482,-79.9113219,,1
2611648474,40.3981063,-79.9098882,,1
2611648476,40.3982251,-79.9091058,,1
2611648478,40.3982499,-79.908750800000007,,1
104186351,40.3981805,-79.908416,,1
2611648472,40.3980642,-79.908179,,1
2611648470,40.3979133,-79.9080247,,1
1356117208,40.3977355,-79.9079305,,1
2611648466,40.3975537,-79.9078819,,1
2611648464,40.3973204,-79.9078266,,1
2611648462,40.3971081,-79.9077506,,1
1356117209,40.396981,-79.907633,,1
2611648458,40.396845,-79.9074627,,1
104186356,40.3967167,-79.907262,,1
104186560,40.3875973,-79.9088287,,1
104186571,40.3858683,-79.9083792,,1
104186578,40.3839288,-79.907872,,1
104186710,40.4113014,-80.0789508,,1
104186715,40.4109084,-80.0782967,,1
104186720,40.4099109,-80.076746,,1
104186727,40.4095811,-80.0763145,,1
572065243,40.46761,-79.9281859,,1
104186779,40.4670213,-79.9285441,,1
104186773,40.466623,-79.9287844,,1
104186765,40.4656068,-79.9293942,,1
104186753,40.4644891,-79.9300616,,1
104186744,40.4634975,-79.9306816,,1
104187038,40.3820989,-79.9016138,,1
104187045,40.381535,-79.9035665,,1
104187053,40.3809793,-79.9054011,,1
104187056,40.3802846,-79.9057873,,1
104187062,40.3792155,-79.9063244,,1
104187069,40.3782373,-79.9068388,,1
1777041943,40.4733286,-80.0635543,,1
2991742038,40.473363,-80.063579,,1
5081857898,40.4738989,-80.0642323,,1
104187095,40.4949042,-79.9565206,,1
1462806083,40.4881286,-80.0489402,,1
4185598710,40.4882965,-80.0489814,,1
1462806053,40.4885625,-80.0490467,,1
104187217,40.4886885,-80.049095,,1
3376892183,40.4888586,-80.0492281,,1
104187225,40.4892384,-80.0495993,,1
4556207511,40.48954,-80.0498941,,1
104187232,40.4895849,-80.049938,,1
4556207500,40.4896166,-80.0499685,,1
104187243,40.490326,-80.0506515,,1
104187288,40.48173,-80.0265683,,1
104187293,40.4817138,-80.0269733,,1
3818054996,40.481706,-80.0274196,,1
2515546361,40.4816982,-80.0274987,,1
3818054995,40.481693,-80.0275382,,1
104187301,40.4816061,-80.0278936,,1
3195258975,40.4815769,-80.0280129,,1
104187310,40.481391,-80.0288049,,1
3818054993,40.4813779,-80.0288977,,1
3818054992,40.4813753,-80.0290094,,1
3818054994,40.4813805,-80.0291366,,1
104187319,40.4814353,-80.0295061,,1
104187324,40.4819263,-80.0328139,,1
3758329317,40.4818528,-80.0331952,,1
3775801565,40.481806,-80.0334381,,1
104187329,40.4817084,-80.0339443,,1
104187495,40.4598876,-80.0285058,,1
3880265606,40.4598386,-80.0287662,,1
104187503,40.4596963,-80.0295215,,1
104187508,40.4595786,-80.0301468,,1
104187715,40.448957299999996,-79.9615662,,1
1454458362,40.449166,-79.9615898,,1
104187720,40.4492646,-79.9616567,,1
104187728,40.4493254,-79.9617631,,1
104187739,40.4493757,-79.9622203,,1
104187751,40.4495226,-79.9629823,,1
104187757,40.4496462,-79.9632784,,1
104187769,40.4497724,-79.9635468,,1
104187784,40.449858,-79.9636523,,1
104187797,40.4499423,-79.9637343,,1
104187809,40.4500197,-79.9637744,,1
104187819,40.4501263,-79.9638062,,1
104187830,40.450288,-79.9638295,,1
104187842,40.4504386,-79.9638523,,1
104188110,40.4719283,-79.9038901,,1
104188118,40.4721215,-79.9038359,,1
104188131,40.4722201,-79.9038134,,1
104188722,40.4482322,-80.0803706,,1
104188730,40.4485874,-80.0808238,,1
2715153076,40.4527194,-79.9741147,,1
684828152,40.4527311,-79.9742348,,1
2610616200,40.4527219,-79.9743096,,1
684828153,40.4527018,-79.9743784,,1
684828154,40.4523794,-79.9752541,,1
2715153068,40.4522123,-79.975622,,1
684828155,40.4521568,-79.975749,,1
684828156,40.4520425,-79.9759662,,1
684828157,40.4518833,-79.9762023,,1
684828158,40.4514404,-79.976728,,1
684828159,40.4512016,-79.9771169,,1
684828160,40.4510894,-79.9773878,,1
684828161,40.4509893,-79.9777043,,1
684828162,40.4509281,-79.9780342,,1
684828163,40.4509261,-79.97834,,1
684828164,40.450922,-79.9786189,,1
684828165,40.4508873,-79.9789274,,1
684828167,40.4508281,-79.9792358,,1
684828168,40.4506893,-79.979657,,1
684828169,40.4503872,-79.9805045,,1
684828170,40.4502423,-79.980821,,1
684828171,40.4501362,-79.9810302,,1
684828172,40.4500504,-79.9811348,,1
684828173,40.4499994,-79.9811751,,1
684828174,40.4499528,-79.9811799,,1
104188864,40.4484976,-80.0800326,,1
104188871,40.4481587,-80.0794908,,1
104188893,40.42886,-80.061562,,1
104188899,40.4299807,-80.0609206,,1
104188907,40.431815,-80.059901,,1
104188916,40.431927,-80.05981,,1
104188938,40.4316871,-80.0592817,,1
104188946,40.432058,-80.060251,,1
104191122,40.447749,-80.0840458,,1
1771443738,40.4483548,-80.0846639,,1
1771443740,40.4484043,-80.0847048,,1
1771443745,40.4484678,-80.0847456,,1
1771443746,40.4485293,-80.0847697,,1
1771443753,40.4485971,-80.0847772,,1
1771443756,40.4486537,-80.0847679,,1
1771443760,40.4487144,-80.0847465,,1
1771443764,40.4487759,-80.0847094,,1
104191126,40.4488504,-80.0846519,,1
104191561,40.4374173,-79.9100198,,1
104191566,40.4372874,-79.9103182,,1
104191570,40.437196,-79.91101,,1
104191577,40.437078,-79.911115,,1
104191585,40.4661892,-79.9519367,,1
3649065195,40.4663107,-79.9519323,,1
104191592,40.4664741,-79.9518666,,1
104191595,40.4666372,-79.95174,,1
1252104734,40.4667171,-79.9516603,,1
104191601,40.466766,-79.9516115,,1
104191608,40.4669575,-79.9514726,,1
104191613,40.4671355,-79.9515093,,1
1252104600,40.467281,-79.9513747,,1
104191616,40.4673118,-79.9513462,,1
104191624,40.467554,-79.951108,,1
104191629,40.468128,-79.9505995,,1
315066710,40.4682717,-79.9504965,,1
315066711,40.4683957,-79.9504879,,1
315066712,40.4685525,-79.9505909,,1
315066713,40.4688855,-79.9510458,,1
315066714,40.4689181,-79.9512518,,1
315066715,40.4689573,-79.9514407,,1
315066716,40.4689051,-79.9516896,,1
315066717,40.4688528,-79.9518355,,1
315066718,40.4687614,-79.9519385,,1
315066719,40.4686569,-79.95205,,1
1252104697,40.4685373,-79.9521286,,1
1252104484,40.4684741,-79.9521635,,1
1252104524,40.4681813,-79.9521959,,1
104191960,40.452945,-79.944337,,1
104191966,40.4524748,-79.9441053,,1
105893783,40.4559432,-79.9628867,,1
2584519820,40.4556588,-79.9625852,,1
104192081,40.4562654,-79.9632063,,1
1252119204,40.456601,-79.9635169,,1
104192117,40.4254476,-80.0769195,,1
104192122,40.4246195,-80.0769178,,1
104192763,40.4238092,-79.9689047,,1
1025864036,40.4237714,-79.9689113,,1
