id,osm_node_id,lat,lon,osm_label,neighborhood
2107,104598217,40.5277043,-80.0558665,,
2108,104598221,40.5272137,-80.0570335,,
2109,3530977915,40.5267528,-80.0593262,,
2110,2805525661,40.4811597,-79.9657729,,
2111,4938996044,40.356339,-79.9797009,,
2112,104598350,40.3565974,-79.9790978,,
2113,104598386,40.4190089,-80.0477795,,
2114,104598394,40.4182307,-80.049201,,
2115,104598402,40.4169941,-80.051397,,
2116,104598412,40.416169,-80.052676,,
2117,104598425,40.3681126,-79.8675006,,
2118,104598442,40.3648283,-79.8684888,,
2119,1356184326,40.3643522,-79.8687555,,
2120,276837009,40.3950527,-80.0281656,,Brookline
2121,104598482,40.3945256,-80.028525,,Brookline
2122,104598492,40.3938658,-80.0290963,,Brookline
2123,276837042,40.3958899,-80.026875,,Brookline
2124,104599472,40.3578193,-79.9653133,,
2125,1829215811,40.356615,-79.9604974,,
2126,104599512,40.4325978,-80.043124,,Westwood
2127,104599527,40.4324557,-80.0449655,,Westwood
2128,104599551,40.4320694,-80.0481947,,Westwood
2129,104599583,40.3925752,-79.9935213,,Overbrook
2130,104599607,40.3914557,-79.9932477,,Overbrook
2131,104599637,40.3901993,-79.9929097,,Overbrook
2132,104599648,40.3894067,-79.9927193,,Overbrook
2133,104599663,40.3886488,-79.9925396,,Overbrook
2134,104599675,40.3867651,-79.9921346,,Overbrook
2135,106313011,40.3858146,-79.9919807,,Carrick
2136,104599702,40.5414473,-80.001347,,
2137,934184316,40.5399389,-80.000353,,
2138,104599782,40.4682645,-79.9779918,,Troy Hill
2139,104599791,40.4684317,-79.9783755,,Troy Hill
2140,104599812,40.4687487,-79.9790686,,Troy Hill
2141,104599863,40.3548154,-79.8855219,,
2142,104599876,40.3539627,-79.8848543,,
2143,2056076916,40.3536139,-79.8845954,,
2144,104599885,40.3533393,-79.8843962,,
2145,104599921,40.4951911,-79.9359676,,
2146,104599938,40.4951519,-79.9345216,,
2147,104599942,40.4951301,-79.9337149,,
2148,104599953,40.4951152,-79.9331672,,
2149,104599958,40.4951009,-79.9326395,,
2150,104599968,40.4950898,-79.9322284,,
2151,104599978,40.4950791,-79.9318346,,
2152,837157866,40.4950495,-79.9311177,,
2153,104600004,40.3854512,-79.9772997,,Carrick
2154,104600021,40.3876578,-79.9764016,,Carrick
2155,104601222,40.3893269,-79.9762192,,Carrick
2156,104601234,40.3913862,-79.9763855,,Carrick
2157,104601259,40.3930123,-79.9763292,,Carrick
2158,104601453,40.4013953,-80.0551689,,
2159,104601289,40.4013014,-80.0536528,,
2160,104924310,40.4173887,-80.1079648,,
2161,104601641,40.4186527,-80.1055791,,
2162,104601705,40.3482498,-80.0850918,,
2163,104601714,40.348484,-80.0853318,,
2164,104601728,40.3489055,-80.0861864,,
2165,104601752,40.4068611,-79.9472774,,Hazelwood
2166,104601783,40.4064528,-79.9471077,,Hazelwood
2167,104601794,40.4049294,-79.9467208,,Hazelwood
2168,104602753,40.4320977,-79.9350722,,Squirrel Hill South
2169,1383428032,40.4319726,-79.9330552,,Squirrel Hill South
2170,104602844,40.3945814,-80.0662504,,
2171,3569893728,40.3947504,-80.0638793,,
2172,104602861,40.3950593,-80.0631946,,
2173,104602889,40.3420018,-79.9774182,,
2174,104602901,40.3406457,-79.9762721,,
2175,104603371,40.4227026,-79.8796631,,
2176,104603380,40.4235795,-79.8792048,,
2177,104603387,40.4243399,-79.8788066,,
2178,104603399,40.4251305,-79.8784008,,
2179,104603555,40.501404,-79.8541461,,
2180,104603584,40.5031833,-79.8565758,,
2181,104603610,40.4822797,-80.0211137,,Perry North
2182,104603692,40.4818514,-80.0179605,,Perry North
2183,104604046,40.4818916,-80.0183537,,Perry North
2184,104603820,40.4834194,-80.0241456,,Perry North
2185,104604062,40.4826772,-80.0182127,,Perry North
2186,104604136,40.4910187,-80.0601804,,
2187,104604145,40.4917107,-80.0608322,,
2188,104604220,40.4035596,-79.8860167,,
2189,104604229,40.4027131,-79.8852073,,
2190,104604247,40.5284174,-79.9178752,,
2191,104604253,40.5284036,-79.9165028,,
2192,104604516,40.5190742,-80.0332349,,
2193,104604520,40.5187309,-80.0342073,,
2194,104604532,40.5186367,-80.0352047,,
2195,104604548,40.5207497,-80.0362843,,
2196,5015599550,40.5222821,-80.0369552,,
2197,104604563,40.5234212,-80.0369699,,
2198,104604571,40.52399,-80.037147,,
2199,3620485076,40.439436,-80.0809058,,
2200,105115677,40.4393015,-80.0807528,,
2201,104604587,40.4371785,-80.0810051,,
2202,3620485089,40.436044,-80.0805757,,
2203,104604622,40.3616147,-79.972486,,
2204,104604630,40.3622803,-79.9718034,,
2205,104604641,40.3629576,-79.9711084,,
2206,104605195,40.3452893,-80.0616298,,
2207,104605203,40.345721,-80.0608831,,
2208,104605389,40.4830534,-79.9402434,,Stanton Heights
2209,104605413,40.4823259,-79.9385191,,Stanton Heights
2210,104605422,40.4821259,-79.9376876,,Stanton Heights
2211,104605434,40.4818934,-79.9366952,,Stanton Heights
2212,3159073446,40.4817432,-79.9361324,,Stanton Heights
2213,104605452,40.4794046,-79.9466275,,Stanton Heights
2214,104605457,40.4802262,-79.9456192,,Stanton Heights
2215,104605573,40.3443613,-79.9921812,,
2216,104605579,40.3435381,-79.9930857,,
2217,104605610,40.4360804,-79.8177454,,
2218,104605619,40.4367441,-79.8169267,,
2219,3536860909,40.4382306,-79.815836,,
2220,104605785,40.4769137,-80.1031983,,
2221,104605813,40.476019,-80.1022954,,
2222,104605875,40.4664061,-79.8468769,,
2223,104605897,40.4621861,-79.8425419,,
2224,104606239,40.3683063,-79.9879782,,
2225,104606251,40.3658315,-79.9901079,,
2226,104715745,40.3648437,-79.9921497,,
2227,276837220,40.3948707,-80.0215312,,Brookline
2228,104607591,40.3942261,-80.0223162,,Brookline
2229,104607616,40.3936128,-80.023072,,Brookline
2230,104607637,40.3930172,-80.0238059,,Brookline
2231,104607654,40.3924028,-80.024563,,Brookline
2232,104607669,40.3918047,-80.0252999,,Brookline
2233,104607689,40.3908584,-80.0264659,,Brookline
2234,104607880,40.5275264,-80.0136883,,
2235,104608020,40.5221791,-80.0127158,,
2236,105912726,40.4703638,-80.0776674,,
2237,104608080,40.4713992,-80.0777852,,
2238,104608088,40.4720293,-80.0784517,,
2239,104608096,40.4723196,-80.0787558,,
2240,3456870440,40.4726219,-80.0790725,,
2241,104608103,40.4728018,-80.079261,,
2242,104608108,40.4732938,-80.0797764,,
2243,276837245,40.3949424,-80.0248941,,Brookline
2244,104608163,40.3918342,-80.0206254,,Brookline
2245,104608173,40.3903411,-80.0185523,,Brookline
2246,104608613,40.505174,-80.066134,,
2247,104608625,40.5062094,-80.0661788,,
2248,104608788,40.4554312,-79.9303825,,Shadyside
2249,104608806,40.462487,-79.9516561,,Bloomfield
2250,104608817,40.461642,-79.952312,,Bloomfield
2251,104608824,40.4605132,-79.9532506,,Bloomfield
2252,104608844,40.3480595,-79.8494482,,
2253,104608856,40.3480948,-79.8486974,,
2254,2402769958,40.3481165,-79.8483144,,
2255,104608959,40.3445194,-79.9288939,,
2256,104608982,40.3461706,-79.9322528,,
2257,104609019,40.3455551,-79.9270392,,
2258,104244803,40.4900307,-79.9704465,,
2259,104609058,40.4900976,-79.9707495,,
2260,104609066,40.4901934,-79.9711778,,
2261,104609070,40.4903311,-79.9717349,,
2262,104609118,40.3964175,-79.8425469,,
2263,104609134,40.3966324,-79.8413064,,
2264,104609138,40.3964488,-79.8389329,,
2265,104609155,40.356321,-79.8306597,,
2266,104609160,40.3558356,-79.8297613,,
2267,104609167,40.3553866,-79.8288874,,
2268,104609182,40.3543141,-79.8268366,,
2269,104609189,40.3533881,-79.8250939,,
2270,104609194,40.3522141,-79.8228087,,
2271,104609205,40.3946158,-79.8952738,,
2272,104609215,40.3941641,-79.8953324,,
2273,104609223,40.3931619,-79.8954143,,
2274,104609229,40.3923892,-79.8954672,,
2275,104609251,40.4327959,-80.0450386,,Westwood
2276,104609356,40.3993988,-79.8995626,,
2277,104609393,40.5178766,-79.8474934,,
2278,104609403,40.5186969,-79.8474149,,
2279,104609419,40.4977342,-79.847082,,
2280,104609430,40.4977138,-79.8465831,,
2281,104609438,40.4976567,-79.8461003,,
2282,104609466,40.4934851,-80.0570637,,
2283,104609477,40.4933195,-80.0572813,,
2284,104609488,40.4929232,-80.0578022,,
2285,104609495,40.4917445,-80.0592741,,
2286,104609512,40.4756121,-79.9156477,,Highland Park
2287,2633091843,40.4778451,-79.9145121,,Highland Park
2288,572065271,40.4653611,-79.9209869,,East Liberty
2289,104609651,40.5112421,-79.813848,,
2290,104609670,40.511255,-79.8120005,,
2291,104609734,40.5107313,-79.8062613,,
2292,104609745,40.510604,-79.805976,,
2293,104609780,40.3539898,-80.0096904,,
2294,105098649,40.4580038,-79.9040725,,Homewood West
2295,3157795744,40.4581015,-79.9042759,,Homewood West
2296,104610119,40.4443126,-80.0432306,,Crafton Heights
2297,104610137,40.4436503,-80.0440636,,Elliott
2298,104608225,40.3876338,-80.0148166,,Brookline
2299,104610168,40.3859504,-80.0169505,,
2300,104610240,40.3487759,-80.0550208,,
2301,104610247,40.3493842,-80.056068,,
2302,104610336,40.416183,-79.8390218,,
2303,104610346,40.4157166,-79.8402282,,
2304,104610369,40.4139579,-79.8422333,,
2305,104610387,40.5150886,-79.859502,,
2306,104610399,40.5151858,-79.8566305,,
2307,104610632,40.3792928,-80.0359834,,
2308,104610638,40.3787215,-80.035345,,
2309,104610645,40.3778813,-80.0343263,,
2310,104610652,40.3767522,-80.0330995,,
2311,104610659,40.3759543,-80.0320578,,
2312,104610718,40.4665318,-79.835089,,
2313,104610725,40.4661974,-79.8340492,,
2314,104610732,40.4657352,-79.8336962,,
2315,104610742,40.4648393,-79.8326678,,
2316,104610752,40.4644027,-79.8318736,,
2317,104610771,40.4619564,-79.8307125,,
2318,104610797,40.4893026,-80.0223926,,Perry North
2319,104610818,40.4899464,-80.021449,,Perry North
2320,104610826,40.4396095,-80.0680427,,
2321,104610927,40.3813269,-79.8773125,,
2322,104610934,40.3810402,-79.8785566,,
2323,104610943,40.3789773,-79.8774362,,
2324,104610966,40.3765777,-79.8766278,,
2325,104610983,40.3768915,-79.875517,,
