Source,Target,Type,Id,Label,timeset,Weight,junction,access,service,tunnel,maxspeed,bridge,ref,osmid,oneway,name,distance,lanes,highway,geometry,bridge-size
10,87,Undirected,972,North Shore Expressway,,10,,,,,50 mph,yes,I 279,121593848,TRUE,North Shore Expressway,219.329,3,motorway,"LINESTRING (584559.619189791 4478138.170833097, 584498.8909897051 4478121.254802365, 584346.5275803376 4478084.522680874)",10
1,1,Undirected,989,East Liberty Boulevard,,10,,,,,,yes,,"[208898969, 302198437, 208898974]",TRUE,East Liberty Boulevard,275.543,1,secondary,"LINESTRING (591569.1906212739 4479929.099259379, 591603.7601982292 4479913.901952896, 591642.6581347248 4479893.551013909, 591658.1666050296 4479884.570768999, 591669.5708613226 4479876.994630897, 591677.3617505627 4479870.206887888, 591686.5203444072 4479861.137815566, 591701.2153522782 4479846.585640406, 591776.4818180571 4479755.040527343)",10
13,141,Undirected,1320,,,10,,,,,,yes,,"[28685676, 550521553, 320911634, 320911635, 30678330]",TRUE,,310.322,1,motorway_link,"LINESTRING (587172.5451378463 4476753.348590799, 587137.9513195677 4476760.761684296, 587108.6975993013 4476765.605937195, 587077.3106707234 4476770.802963073, 587070.5084560579 4476771.456607457, 587064.10155296 4476771.670786362, 587057.8186805502 4476771.431244546, 587051.2271510663 4476770.744055401, 587044.4207759246 4476769.565903216, 587037.8177277714 4476767.679614208, 587031.5256855685 4476765.308471805, 587025.6726450075 4476762.387352287, 587019.6817319372 4476758.920655274, 587013.648949319 4476754.676361678, 587008.5473248718 4476750.598311109, 587003.4037007418 4476745.753762882, 586970.0862342017 4476709.730617214, 586964.404760131 4476704.44688944, 586958.7156760384 4476699.818074825, 586952.6722683402 4476695.751335921, 586946.0321783964 4476691.933014763, 586940.0091580325 4476689.032195487, 586932.4770495045 4476686.058361157, 586923.7575084744 4476683.070756736, 586895.2784678132 4476674.502952679)",10
13,1,Undirected,1321,Boulevard of the Allies,,10,,,,,40 mph,yes,PA 885,116247460,TRUE,Boulevard of the Allies,217.683,1,trunk,"LINESTRING (587172.5451378463 4476753.348590799, 587136.10843412 4476755.111711293, 587128.0829593904 4476755.184891406, 587119.2738652318 4476754.804901086, 587110.749308032 4476754.028570392, 587102.4577519256 4476752.910807426, 587093.2308074397 4476751.260401457, 587024.4402538948 4476736.306370328, 586958.3567847399 4476719.774662884)",10
1,1,Undirected,1356,Schenley Drive,,10,,,,,,yes,,"[293149233, 24931540, 11734052, 374792903]",FALSE,Schenley Drive,342.898,,secondary,"LINESTRING (589202.9397186395 4477213.482153594, 589189.0826339282 4477223.20879395, 589113.3060052781 4477276.361256822, 589045.7996079993 4477323.884279541, 589043.5931846118 4477325.401190392, 589037.3334175509 4477329.678656811, 589018.4087967279 4477342.609274936, 588990.7540110355 4477356.435364167, 588969.5574233549 4477364.276715825, 588958.9761743435 4477368.192065285, 588950.9776931021 4477371.039030313, 588924.8698067233 4477380.332016535, 588914.0977620996 4477383.889907375, 588908.804661867 4477386.058522278)",10
1,1,Undirected,1665,Beulah Road,,10,,,,,,yes,PA 130,"[11748345, 449803564, 449803565]",FALSE,Beulah Road,125.725,,primary,"LINESTRING (598046.4517319979 4478432.050263204, 598046.5899347281 4478436.393015441, 598046.6272602577 4478448.439342283, 598045.8940254074 4478451.971328178, 598043.824963719 4478463.601497429, 598036.2412184072 4478493.511320937, 598035.2178524646 4478524.384118236, 598038.6436268046 4478556.17003966)",10
2,2,Undirected,1697,Brosville Street,,10,,,,,,yes,,"[54862728, 11952777, 11952776]",FALSE,Brosville Street,111.989,,tertiary,"LINESTRING (585991.5942890085 4475533.911156571, 585992.8872550299 4475526.221494215, 585996.1287981919 4475521.729244255, 586003.4280321159 4475519.992346346, 586038.9153419703 4475520.854843842, 586046.6829887975 4475518.224137079, 586050.8479181218 4475512.377016978, 586052.2968981869 4475505.14431973, 586049.9337895716 4475485.589499031, 586048.2688254532 4475472.470512941)",10
0,0,Undirected,2136,Ridge Avenue,,10,,no,,,,yes,,"[64764841, 352622213, 55180591]",TRUE,Ridge Avenue,60.794,1,secondary,"LINESTRING (583865.0175371942 4478344.097227114, 583882.7503136506 4478348.680978332, 583903.8880637145 4478354.401980461, 583910.0257710967 4478356.124892266, 583922.6889563343 4478362.805628728)",10
14,105,Undirected,2156,31st Street Bridge,,10,,,,,,yes,,105411995,FALSE,31st Street Bridge,9.744,2,secondary,"LINESTRING (586495.1565677656 4479842.380457107, 586503.6322207346 4479837.549272152)",10
14,0,Undirected,2157,31st Street Bridge,,10,,,,,,yes,,"[247569066, 105411995]",FALSE,31st Street Bridge,15.758,2,secondary,"LINESTRING (586495.1565677656 4479842.380457107, 586485.2730720844 4479847.97249971, 586481.4238282026 4479850.14835446)",10
14,0,Undirected,2158,Rialto Street,,10,,,,,,yes,,"[532953387, 426036310]",FALSE,Rialto Street,24.28,2,tertiary,"LINESTRING (586495.1565677656 4479842.380457107, 586492.5313619804 4479861.167464641, 586491.8011767847 4479866.387917214)",10
0,0,Undirected,2179,Martsolf Avenue,,10,,,,,,yes,,"[261675000, 261675001, 11720159]",FALSE,Martsolf Avenue,83.076,"['1', '2']",residential,"LINESTRING (582469.4045962807 4485157.16149944, 582476.0808759501 4485147.221539445, 582496.6542475978 4485117.973888307, 582516.8938135811 4485089.04455117)",10
15,1,Undirected,2203,"['Glenwood Bridge', 'Second Avenue']",,10,,,,,25 mph,yes,PA 885,"[54684112, 357230497, 54684113, 302191270]",TRUE,"['Glenwood Bridge', 'Second Avenue']",924.906,,primary,"LINESTRING (590399.5996555621 4471945.572863542, 590393.8988217402 4471993.208187491, 590374.0917875627 4472171.817999042, 590361.6382538691 4472280.475795595, 590335.4986913658 4472517.748607641, 590332.0069096283 4472548.336172951, 590325.5316651973 4472605.365391987, 590322.7853450121 4472631.143797967, 590319.7337414603 4472651.967166887, 590315.3402638662 4472667.223525484, 590311.7145723552 4472675.106493163, 590305.4627077626 4472683.990304574, 590296.4684795691 4472692.952125384, 590283.8694394892 4472699.6058187, 590267.4415981069 4472702.816332867, 590243.5145847239 4472705.015215897, 590174.9398972888 4472708.953151166, 590153.5052873552 4472712.103724651, 590134.5497080882 4472717.315759043)",10
16,2,Undirected,2207,,,10,,,,,,yes,,"[54684072, 54684073, 357230496, 357230495]",TRUE,,353.72,,primary_link,"LINESTRING (590538.2941899614 4471905.103159053, 590521.1231424675 4471904.329787976, 590505.4110597094 4471907.15990573, 590435.2517825859 4471925.741904013, 590423.9631635367 4471927.082372691, 590411.7992040239 4471925.692393326, 590398.7818236258 4471919.751555816, 590389.09184017 4471911.69709681, 590380.9073381235 4471901.273920629, 590376.4961054774 4471889.774932294, 590374.6782378757 4471879.317438714, 590375.0440338681 4471867.975908855, 590376.7337427072 4471860.180666113, 590399.9696219349 4471792.984460983, 590407.5904341399 4471764.955680094, 590416.2836189617 4471724.017452554)",10
