Source,Target,Type,Id,Label,timeset,Weight,junction,access,service,tunnel,maxspeed,bridge,ref,osmid,oneway,name,distance,lanes,highway,geometry,bridge-size
1,1,Undirected,6529,"['Swinburne Street', 'Frazier Street']",,10,,,,,25 mph,yes,,"[11816517, 270554739, 270554740, 270554741, 270554742, 25382424]",FALSE,"['Swinburne Street', 'Frazier Street']",793.76,2,tertiary,"LINESTRING (589083.2500832842 4475532.955167707, 589079.859793255 4475539.809030229, 589077.5386393421 4475544.510768639, 589074.7652927974 4475550.139676647, 588995.6562176861 4475710.418820151, 588993.3873805437 4475715.01018714, 588992.1595049928 4475719.103237911, 588991.9392317611 4475723.363678395, 588992.7549073857 4475727.547607576, 588994.5499193069 4475731.421217629, 589008.3276605422 4475751.434709263, 589027.4512109079 4475779.216324693, 589034.1585681841 4475789.498486673, 589039.9049507028 4475799.258558136, 589043.8464101474 4475807.409642187, 589045.8834966981 4475813.040213455, 589046.9514489705 4475818.836896461, 589047.1151875069 4475824.334190235, 589046.8795827823 4475829.882247182, 589046.13115517 4475835.035650294, 589044.7658719673 4475839.981892614, 589004.1517379386 4475940.158618925, 588953.6519933168 4476032.036224976, 588944.7028253214 4476045.52958906, 588935.1559513808 4476057.206289789, 588907.9921881675 4476075.745738927, 588902.3985909646 4476082.429210904, 588899.3630865996 4476090.874903721, 588899.2245120164 4476100.40963019, 588901.3871440869 4476109.76072717, 588920.2935684099 4476145.066485524, 588923.7299464955 4476154.310588094, 588926.1757374794 4476163.387511994, 588926.2811441889 4476169.516909313, 588924.8980253224 4476175.262283938, 588922.6193494707 4476180.697284124, 588919.3838471192 4476185.266097801, 588914.6737087002 4476188.995886534, 588908.9840644079 4476191.626087177, 588902.8698126138 4476192.863539706, 588868.9768552673 4476193.727062567)",10
1,1,Undirected,6867,One Wild Place,,10,,,,,25 mph,yes,,"[366692328, 366692329, 432301044, 432301045, 343495867]",FALSE,One Wild Place,955.743,"['3', '2']",secondary,"LINESTRING (591619.3467702756 4481760.240771403, 591611.4118666346 4481757.490216757, 591605.8362655627 4481754.524323733, 591600.7931916161 4481750.299337083, 591592.0585915691 4481738.779589453, 591583.0464426712 4481729.154883953, 591577.9113258502 4481724.828869418, 591572.7723120895 4481721.513086132, 591566.8024245143 4481718.897657938, 591560.8984051269 4481717.826208542, 591554.6238535083 4481717.938134259, 591546.2326332836 4481719.911485134, 591539.7284110219 4481723.551024134, 591534.7587284874 4481728.563782905, 591531.3361643727 4481733.229114131, 591529.4584060343 4481737.735720185, 591527.9181396381 4481745.1440588, 591527.6418810765 4481752.479050079, 591529.7736606757 4481763.929017534, 591554.2185396119 4481825.843891226, 591557.5526707593 4481834.633023432, 591563.1265532454 4481855.739410477, 591565.1750650157 4481866.366830291, 591566.152169175 4481876.570362595, 591567.1405421474 4481891.392435448, 591567.3276511638 4481905.882743011, 591567.3298309867 4481913.321061975, 591566.9010912786 4481918.567025251, 591565.4799575177 4481923.168028809, 591562.7008861699 4481927.208413417, 591557.7246588909 4481932.765069493, 591552.4831424218 4481937.141676819, 591537.7835982598 4481949.640153352, 591525.3054796434 4481959.334850674, 591511.5272680698 4481969.979527878, 591493.6221177286 4481983.982033083, 591485.3381861338 4481991.763064147, 591478.3351857937 4481999.470956186, 591461.7710432274 4482022.360376191, 591446.8584658199 4482044.681622999, 591439.4317930816 4482057.235910684, 591435.4173960722 4482065.257929661, 591432.8805494977 4482072.37655477, 591430.8439406473 4482082.953995287, 591430.4822799744 4482089.655137155, 591430.9612679594 4482095.5450139, 591433.6389037459 4482106.724084117, 591436.5540221239 4482113.731734783, 591440.3911438698 4482120.206665589, 591450.8672379996 4482133.479445523, 591492.3507401758 4482181.447586551, 591548.2750149489 4482242.815146335, 591574.3230265788 4482267.802566661, 591673.3972183559 4482366.757910555, 591677.6404642254 4482371.883517179, 591681.3768594647 4482377.558009452, 591684.5928935362 4482384.191992836, 591692.3080275615 4482403.426338292, 591698.2276222749 4482417.698310453)",10
3,3,Undirected,6868,I 79,,10,,,,,55 mph,yes,I 79,"[57889576, 57889583]",TRUE,,84.453,2,motorway,"LINESTRING (575374.3847993965 4478128.745147343, 575381.036511043 4478055.16656839, 575381.5993501487 4478044.748183078)",10
0,0,Undirected,6881,Restricted Lane,,10,,hov,,,"['50 mph', '55 mph']",yes,,"[92641578, 54455377, 54455381, 113000892, 54455419, 54455420]",FALSE,Restricted Lane,5459.482,"['1', '2']",motorway,"LINESTRING (582687.1652732103 4483818.804534697, 582715.7237686493 4483783.62870392, 582895.8155110821 4483572.78384641, 582947.4391688365 4483509.056017652, 582982.3790080945 4483474.118494996, 583021.4019547438 4483440.136806335, 583054.3897129428 4483416.956731733, 583086.8933958517 4483396.935375973, 583136.2684473533 4483372.572310197, 583357.6246084941 4483278.597562903, 583505.4139912088 4483214.114570905, 583583.0855263721 4483180.345492455, 583616.6714916694 4483165.323111657, 583643.6443974439 4483152.036452465, 583667.6776527141 4483137.129456645, 583694.2539091209 4483118.409841158, 583721.7759776692 4483096.981010055, 583743.3628617108 4483077.295358363, 583765.4481419239 4483053.985118285, 583785.0385948578 4483030.202916452, 583803.4987026211 4483005.952926609, 583820.6097279275 4482980.33345638, 583835.6878480569 4482953.103694753, 583846.1526674414 4482932.161254928, 583858.0759368554 4482902.853456765, 583869.8059699779 4482870.379544657, 583879.0387104582 4482837.644499369, 583887.445940785 4482797.661941496, 583927.4809208604 4482573.014615186, 583951.936866987 4482439.892016652, 583975.9688428015 4482303.833913865, 583982.024442671 4482271.063317601, 583989.6750646146 4482237.411408952, 583999.3871241783 4482202.861227996, 584047.7759215661 4482043.974502613, 584092.6042964151 4481898.847356855, 584100.4387712231 4481869.271919957, 584112.8583277683 4481816.412449455, 584119.6591984961 4481777.755385275, 584124.6003574097 4481743.162806304, 584129.3551721609 4481704.038675004, 584133.1913536174 4481666.702676804, 584135.4101259129 4481630.725088746, 584136.2500274287 4481596.752486763, 584136.0673889531 4481572.293571256, 584132.7860053732 4481500.007348155, 584122.4528945219 4481347.688016485, 584115.7462764308 4481256.557188001, 584113.9431512496 4481214.861471255, 584116.703736834 4481171.407510706, 584121.1951820768 4481136.121596466, 584129.8181808845 4481096.807857507, 584143.9086790958 4481057.55562269, 584170.87065167 4481005.30391592, 584239.0743061517 4480885.574719965, 584265.0591136878 4480839.651348691, 584320.4839923567 4480723.398059416, 584360.0073000048 4480646.831726947, 584401.2945449064 4480574.803843246, 584512.1547478649 4480383.50884223, 584586.5615614491 4480255.271150514, 584605.4051431473 4480221.912907468, 584724.1355760369 4480019.375110269, 584750.5993488086 4479972.104354074, 584769.7449630711 4479927.925849661, 584782.8740159938 4479893.182208527, 584793.375898832 4479849.349907449, 584799.3080055516 4479807.730569541, 584803.4943557089 4479759.297270199, 584811.6590922205 4479641.135443076, 584821.236823704 4479421.498770689, 584824.2796389442 4479373.729742742, 584828.841984008 4479332.550088597, 584834.9462197501 4479295.240169959, 584843.2877381314 4479261.796769883, 584863.7289181364 4479184.317267002)",10
2,116,Undirected,6991,Penn-Lincoln Parkway West,,10,,,,yes,50 mph,yes,I 376;US 22;US 30,"[28411466, 24957029, 51189166]",TRUE,Penn-Lincoln Parkway West,1419.374,2,motorway,"LINESTRING (582616.101705019 4476044.995543919, 582667.9094386855 4476084.18892671, 582699.0103891464 4476106.357598678, 582702.8149378988 4476109.063941836, 582735.9439519683 4476132.698349109, 582750.2947369091 4476142.936956093, 583636.2944623162 4476775.491128723, 583646.7043447864 4476782.92325356, 583675.4625008559 4476804.725848464, 583738.7554718817 4476854.34636974, 583746.2679504724 4476860.680505679, 583766.2315342766 4476878.488519808)",10
2,2,Undirected,6994,Bajo Street,,10,,,,,,yes,,"[307765415, 307765418, 506437015]",FALSE,Bajo Street,191.011,,residential,"LINESTRING (587862.4630865527 4473699.628003491, 587910.1336756216 4473727.541130426, 587943.0896976505 4473751.052261895, 587956.233699132 4473756.202161294, 587982.1647902937 4473757.860773092, 588003.8772309499 4473751.654412964, 588022.3535652773 4473746.420375264, 588035.0908290994 4473741.396542589)",10
51,0,Undirected,7147,,,10,,,,,30 mph,yes,,"[415161290, 54329686, 54329687]",TRUE,,618.573,1,motorway_link,"LINESTRING (585299.6729152107 4478258.835088837, 585284.5698831904 4478280.300076093, 585245.7899149978 4478329.937801157, 585194.7693553302 4478395.522650182, 585174.1882555322 4478425.196212132, 585166.26154033 4478442.102595522, 585161.5482847225 4478456.092510603, 585158.4402083787 4478469.8786533, 585157.3911162176 4478482.333819903, 585157.6524182896 4478498.878178818, 585159.9684111752 4478515.212774714, 585165.0198403011 4478531.134422771, 585173.6831817947 4478549.361891079, 585178.9222203415 4478559.224209239, 585187.0611785296 4478572.849665446, 585198.4753799598 4478589.298904725, 585216.6382605653 4478612.608055688, 585236.6231956966 4478635.271901761, 585271.0148404503 4478671.466215025, 585292.7370843177 4478694.949325196, 585300.6703681692 4478703.521340977, 585321.1230560427 4478725.280426458, 585356.899785421 4478759.670282055)",10
51,0,Undirected,7148,Veterans Bridge,,10,,,,,50 mph,yes,I 579,"[231738432, 124083381, 54329606]",TRUE,Veterans Bridge,1076.912,"['1', '2']",motorway,"LINESTRING (585299.6729152107 4478258.835088837, 585262.687236011 4478296.858691577, 585185.5345633586 4478387.257901763, 585160.3903468138 4478418.467115472, 585137.4898129073 4478451.511482833, 585115.9449926896 4478486.169958838, 585101.3287915443 4478511.148936889, 585087.1216322379 4478540.440011198, 585076.3849983141 4478564.34186393, 585064.2087075697 4478594.788419717, 585055.2515302891 4478622.562774018, 585045.7800413881 4478655.304813153, 585042.3272114936 4478668.110143409, 585020.1322821758 4478750.398462294, 584979.9505229187 4478904.465434197, 584970.024326937 4478936.980371776, 584959.175464593 4478970.8503476, 584942.2653425377 4479018.006787507, 584910.3012225409 4479108.721706553, 584865.5286677898 4479226.024190475)",10
0,0,Undirected,7178,PA 28,,10,,,,,,yes,PA 28,"[54338618, 54338611, 184547414]",TRUE,,874.078,"['1', '2']",motorway,"LINESTRING (585271.0617524097 4478711.277123073, 585219.8808275453 4478667.47580118, 585196.9674546393 4478642.069880721, 585179.9184929673 4478621.482240965, 585164.0100777328 4478599.775253265, 585149.2591700356 4478576.94910329, 585132.8337910465 4478549.974149554, 585119.820332335 4478522.749383402, 585107.5505446628 4478483.809807404, 585101.4270417814 4478462.21420236, 585086.4117950873 4478402.905338472, 585072.4392161389 4478351.079737435, 585064.5342473183 4478326.522009535, 585055.4408294105 4478305.791943833, 585044.090161587 4478283.681858863, 585031.3406467647 4478264.508931821, 585017.0020273186 4478244.862820504, 584997.0025040396 4478223.331817204, 584973.5913140458 4478201.995287584, 584950.5883706829 4478184.282584761, 584923.0220882908 4478168.105727406, 584895.8613284006 4478155.79692452, 584865.0473695878 4478144.790110161, 584828.0552425749 4478137.121619172, 584793.9865951388 4478132.661469849, 584753.991246421 4478128.811588773, 584733.5334757317 4478127.447702851, 584719.655263362 4478127.7347352)",10
0,52,Undirected,7179,,,10,,,,,,yes,,"[54329688, 54329689, 54329690]",TRUE,,521.769,1,motorway_link,"LINESTRING (585222.9521678466 4478677.035941574, 585197.0391344333 4478655.89219633, 585175.6631979138 4478635.477359196, 585153.4227527817 4478610.534401371, 585135.7570936864 4478584.500068926, 585121.6869502731 4478561.45968599, 585112.776508356 4478544.817000423, 585101.4340931422 4478522.029701968, 585093.6932441279 4478502.458412794, 585086.9351274074 4478477.003352296, 585085.022210178 4478464.7365502, 585084.4828521345 4478452.496459435, 585086.2469283877 4478437.56265347, 585090.9542219106 4478423.339493581, 585099.5565045961 4478406.673846896, 585109.953686454 4478392.515370023, 585126.9480879429 4478378.431909578, 585168.2177153894 4478349.903849728, 585191.1536280038 4478333.168223124, 585211.1515794176 4478315.266865672, 585234.3887977956 4478292.195781376, 585251.1452935733 4478275.212366289)",10
0,0,Undirected,7180,,,10,,,,,,yes,,"[59696472, 59696474, 59696471]",TRUE,,364.95,1,motorway_link,"LINESTRING (585222.9521678466 4478677.035941574, 585180.8748368067 4478645.505894143, 585154.2535147433 4478625.475507736, 585121.0880199537 4478602.950665433, 585099.1779090493 4478589.956956123, 585078.47293889 4478576.87709337, 585060.8145439539 4478563.609869967, 585045.4898952805 4478548.703959096, 585036.2567409718 4478536.564952944, 585028.316818948 4478523.308282937, 585023.814485314 4478512.777245267, 585018.6730681484 4478498.031448721, 585014.9476727141 4478474.342746944, 585013.1517388466 4478454.750241636, 585008.8587121478 4478410.83909645)",10
52,161,Undirected,7204,Veterans Bridge,,10,,,,,"['40 mph', '50 mph']",yes,I 579,"[54313960, 231738435]",TRUE,Veterans Bridge,436.849,3,motorway,"LINESTRING (585251.1452935733 4478275.212366289, 585345.1832763313 4478170.873888893, 585363.6295612885 4478150.779321989, 585465.9561789435 4478033.114947432, 585518.5161956067 4477972.767188643, 585538.3768292582 4477946.250252287)",10
1,54,Undirected,7300,Highland Park Bridge,,10,,,,,,yes,Green Belt;Blue Belt,"[54582179, 31779605]",TRUE,Highland Park Bridge,237.236,1,motorway_link,"LINESTRING (592307.2201626403 4482227.609182005, 592300.5565927429 4482231.112870114, 592294.9541019783 4482234.496435753, 592270.858323751 4482251.384935868, 592267.8281876395 4482253.07945585, 592264.0004059764 4482254.841849741, 592259.9394231412 4482256.268309588, 592125.7246431698 4482297.134209264, 592122.1204234967 4482298.644083277, 592119.1159043268 4482300.327875682, 592116.505079089 4482302.393985398, 592114.1415425122 4482305.029341945, 592112.2500273045 4482308.569772006, 592110.8949196308 4482312.605295803, 592110.1617925339 4482317.070355338, 592110.1036845548 4482321.787972399, 592110.4998274918 4482326.100412123, 592111.3715412882 4482331.717639005)",10
53,1,Undirected,7326,,,10,,,,,,yes,,"[54582178, 11653642]",TRUE,,252.155,1,motorway_link,"LINESTRING (592100.4785743771 4482329.007818867, 592098.1515550846 4482325.237799485, 592095.4577700556 4482322.340318843, 592091.8511078414 4482319.920083485, 592087.9744633322 4482318.084929108, 592083.869393824 4482316.901979579, 592079.4430816709 4482316.336786492, 592074.9511546567 4482316.281478225, 592070.0623923738 4482316.78748671, 592063.3897140442 4482318.292916501, 592057.1192084191 4482320.180769508, 591928.7302924737 4482363.109111387, 591921.6262823585 4482365.231072599, 591915.2687665113 4482366.618385061, 591909.0346819691 4482367.618651588, 591902.8823334498 4482368.175849717, 591873.8272324316 4482369.350896501, 591867.6590291973 4482369.819113091, 591860.6817220156 4482370.599352145)",10
53,1,Undirected,7327,Highland Park Bridge,,10,,,,,,yes,Green Belt;Blue Belt,"[462187191, 54582177, 11680679]",TRUE,Highland Park Bridge,363.117,1,motorway_link,"LINESTRING (592100.4785743771 4482329.007818867, 592095.1540290067 4482309.835772583, 592093.2202840542 4482303.72808511, 592090.8430833672 4482297.836976476, 592088.3939761402 4482293.654684835, 592085.9573068838 4482290.527233269, 592083.5970515105 4482288.077942922, 592080.6424253258 4482285.710150429, 592077.4387313136 4482283.605739443, 592073.6636321073 4482281.782945493, 592069.789425461 4482280.436317483, 592065.1589958246 4482279.235808973, 592060.6637639718 4482278.758594901, 592056.1730443592 4482278.603395828, 592052.3559823646 4482278.811754311, 591982.1434445382 4482291.936274732, 591974.8584906249 4482293.600781872, 591967.8813947818 4482295.735364108, 591961.9605825808 4482298.138287053, 591956.3651260857 4482300.96708954, 591952.5359580668 4482303.540065539, 591948.2547467044 4482307.028947344, 591945.780137575 4482309.740703297, 591943.6635552307 4482312.978653692, 591942.4051667673 4482316.049524682, 591941.6347860815 4482318.726725481, 591941.6062628975 4482321.046682813, 591941.9767622757 4482323.31603627, 591943.0288354717 4482325.305118856, 591944.6836110958 4482327.223898235, 591947.1395695969 4482328.786164454, 591950.5079818696 4482329.904470861, 591953.2837907994 4482330.271661115, 591956.4471310456 4482330.144029875, 591960.3699616876 4482329.60386535, 591966.9246347089 4482328.041383539, 592093.0163283255 4482296.198445609)",10
0,0,Undirected,7371,Columbus Avenue,,10,,,,,,yes,,"[55189328, 55189329, 54364559]",FALSE,Columbus Avenue,234.693,2,unclassified,"LINESTRING (582583.7883396931 4479061.001357848, 582627.6103213762 4479071.942557639, 582736.4963885382 4479099.156083329, 582781.3536037515 4479111.530631736, 582795.2476032985 4479132.632861654, 582797.945744035 4479137.858216655)",10
1,54,Undirected,7373,,,10,,,,,,yes,,"[54582176, 28571897]",TRUE,,313.898,1,motorway_link,"LINESTRING (591860.6817220156 4482370.599352145, 591890.7895694241 4482350.663791951, 591898.9151682438 4482344.735284602, 591906.4986162505 4482338.089597795, 591938.720791541 4482306.156795579, 591943.2633559515 4482302.093820228, 591948.2246430084 4482298.44676814, 591953.2294165615 4482295.399759364, 591959.2940235938 4482292.332480625, 591965.7260912784 4482289.713803734, 591973.196674416 4482287.429861305, 591980.8386915186 4482285.680928573, 592051.5950758187 4482272.452069145, 592056.1160077782 4482272.219068795, 592061.1151175859 4482272.391628195, 592066.3131267618 4482272.933004198, 592071.6955458324 4482274.331504961, 592078.1682816618 4482276.675998837, 592082.3533453512 4482278.936819374, 592086.5452423866 4482282.019271356, 592090.049401185 4482285.881495699, 592093.2051095737 4482290.50546581, 592095.8470977881 4482295.544985224, 592098.355663107 4482301.781874071, 592103.7667435802 4482316.680733955, 592105.499122669 4482320.554450652, 592111.3715412882 4482331.717639005)",10
54,69,Undirected,7379,Highland Park Bridge,,10,,,,,45 mph,yes,Green Belt;Blue Belt,28388331,TRUE,Highland Park Bridge,680.079,2,motorway,"LINESTRING (592111.3715412882 4482331.717639005, 592300.670903808 4482869.411052699, 592337.8070867762 4482972.129925097)",10
1,1,Undirected,7429,Allegheny River Boulevard,,10,,,,,45 mph,yes,PA 130;Green Belt,"[11701312, 208944245, 208944247, 462187192, 462187194]",FALSE,Allegheny River Boulevard,2636.697,"['2', '4']",primary,"LINESTRING (592628.9295311605 4482053.755536359, 592646.4626719226 4482051.474769461, 592687.6592770874 4482046.112274497, 592809.704158606 4482030.229007863, 592959.3491310412 4482011.748695769, 593467.1924572625 4481946.459127189, 593534.5437926287 4481935.555201508, 593600.3517634759 4481921.324160011, 593674.100456991 4481907.981384552, 594452.6048274543 4481801.689370651, 594532.6060853178 4481794.917540965, 594632.7950136408 4481789.922939494, 594720.3070729615 4481785.868228311, 594753.044747494 4481786.682566631, 594783.6485117713 4481788.646825134, 594909.025305362 4481802.260265132, 594961.6190732958 4481805.570125656, 595128.0410298737 4481803.310718408, 595159.5835250028 4481804.111637891, 595251.9802164182 4481811.271785439)",10
3,104,Undirected,7436,,,10,,no,,,,yes,,"[39423492, 39423493, 39423487]",TRUE,,486.324,1,motorway_link,"LINESTRING (577572.0313266426 4474375.879584336, 577665.6601705606 4474275.41691664, 577692.8231081916 4474244.914612645, 577751.0900898105 4474179.499559661, 577761.3188073413 4474169.292588255, 577772.865615723 4474158.810670756, 577785.1487505329 4474148.514029562, 577803.8533824737 4474134.30979783, 577886.7126573654 4474071.349048776, 577907.7758592847 4474053.95020859, 577922.5912203768 4474040.893685061)",10
3,127,Undirected,7437,Penn-Lincoln Parkway West,,10,,,,,55 mph,yes,I 376;US 22;US 30,"[264591681, 264591685, 549621959, 39423496, 49312783]",TRUE,Penn-Lincoln Parkway West,697.935,"['3', '2']",motorway,"LINESTRING (577572.0313266426 4474375.879584336, 577704.0467486792 4474256.587323254, 577786.617521554 4474181.966213697, 577819.2941741796 4474153.342163218, 577842.0841263819 4474133.862933285, 577863.651502264 4474116.913258679, 577887.446036557 4474099.587135466, 577912.718698464 4474082.109926872, 577938.2064814118 4474065.989389374, 577963.4000758404 4474051.242431884, 577987.5422712587 4474038.060998037, 578012.7131908862 4474025.512013653, 578133.5124918959 4473969.209882708)",10
57,59,Undirected,7586,Allegheny Valley Expressway,,10,,,,,55 mph,yes,PA 28,"[54581955, 54581963]",TRUE,Allegheny Valley Expressway,436.892,1,motorway,"LINESTRING (592659.1453200356 4483277.813326091, 592588.133400419 4483303.433980756, 592550.9103875698 4483317.005989248, 592507.3345215726 4483329.600302843, 592466.7413239391 4483339.522871748, 592429.8202679472 4483347.215151198, 592391.5349527213 4483354.890749877, 592312.2553639958 4483368.632594652, 592257.6613424226 4483378.54994013, 592235.2444175426 4483382.625301694)",10
57,58,Undirected,7587,Green Belt,,10,,,,,30 mph,yes,Green Belt,"[54581956, 54581957]",TRUE,,293.143,,motorway_link,"LINESTRING (592659.1453200356 4483277.813326091, 592625.8450218838 4483286.693035917, 592612.715735513 4483289.483507321, 592600.3211563058 4483291.805716066, 592581.655513683 4483294.061382947, 592563.9105080811 4483295.207193464, 592542.0753406208 4483296.069271488, 592517.536754176 4483294.855189317, 592496.686759549 4483289.390353441, 592481.9861935957 4483283.546465384, 592468.9206791632 4483273.648399544, 592454.1003913758 4483258.977004062, 592446.5342388564 4483245.749782845, 592438.6253263738 4483223.225966572, 592435.3837602379 4483209.830192717, 592431.1131171871 4483187.806554248)",10
58,31,Undirected,7591,Highland Park Bridge,,10,,,,,,yes,Green Belt;Blue Belt,54582172,TRUE,Highland Park Bridge,60.361,2,motorway,"LINESTRING (592431.1131171871 4483187.806554248, 592426.6054679591 4483156.842889084, 592420.1232398726 4483128.59701046)",10
59,8,Undirected,7607,Allegheny Valley Expressway,,10,,,,,"['55 mph', '45 mph']",yes,"['PA 28', 'PA 28;Blue Belt']","[54581120, 54581958, 54581959, 54581964, 54581389, 54581390, 308674267]",TRUE,Allegheny Valley Expressway,2090.932,2,motorway,"LINESTRING (592235.2444175426 4483382.625301694, 592203.5879435218 4483388.873772712, 592078.6872289758 4483413.534967975, 591944.4766071625 4483439.282726442, 591877.7204524259 4483451.362448626, 591824.8696277578 4483460.227454466, 591771.3688165921 4483466.820049776, 591556.4987454277 4483489.320133814, 591306.5911816425 4483514.795505089, 591165.8570435904 4483529.641937316, 591098.5593605582 4483535.582580182, 591062.6109981982 4483538.086588216, 590990.2437958263 4483539.281430745, 590964.4043973624 4483538.46736574, 590926.4606138146 4483537.106477044, 590858.9985888464 4483532.889005514, 590724.5316997671 4483523.78422585, 590579.6132164238 4483514.100043527, 590431.0927383427 4483504.397308766, 590271.1359192192 4483495.64740858, 590225.0280168132 4483492.370792676, 590202.5459793013 4483490.74504378, 590177.3544646364 4483487.499105673, 590153.0751342979 4483483.809076213)",10
4,4,Undirected,7617,Allegheny Valley Expressway,,10,,,,,55 mph,yes,PA 28;Green Belt,"[54582309, 54581965, 54581966, 54581967, 54582302]",TRUE,Allegheny Valley Expressway,965.779,2,motorway,"LINESTRING (592663.0782380642 4483253.859548393, 592826.76683948 4483198.603879919, 592906.8637965973 4483171.843810304, 592922.1921038784 4483166.727552019, 593099.0964437416 4483108.910911882, 593257.6392340242 4483065.146525136, 593408.1953059162 4483024.449738281, 593503.5434074617 4482998.463810313, 593589.7505809949 4482976.90538319)",10
4,59,Undirected,7623,Blue Belt,,10,,,,,,yes,Blue Belt,"[54581968, 54581969, 54581961, 54581960]",TRUE,,321.486,1,motorway_link,"LINESTRING (592441.3640336776 4483186.123674827, 592442.6659888242 4483209.009872156, 592441.8032953911 4483223.942483286, 592437.8289414349 4483251.304154581, 592430.7524239934 4483271.821952781, 592424.4463431595 4483285.554863975, 592416.7955569924 4483297.683572022, 592406.8679755937 4483309.562104252, 592396.7312088105 4483320.538802363, 592380.4453043658 4483332.560824896, 592369.9098411759 4483338.769877579, 592356.4197608223 4483345.397623707, 592332.6509607844 4483355.295641855, 592306.6195140481 4483364.488574059, 592272.4078488232 4483373.802661405, 592257.4983174982 4483377.337811878, 592235.2444175426 4483382.625301694)",10
60,4,Undirected,7639,Allegheny Valley Expressway,,10,,,,,55 mph,yes,PA 28,"[54581970, 54581979, 54581975]",TRUE,Allegheny Valley Expressway,590.463,1,motorway,"LINESTRING (592087.4275663919 4483388.585466455, 592206.1388873539 4483364.836138043, 592233.0377657143 4483358.828729099, 592355.4323536865 4483332.70695443, 592412.4058418558 4483321.631810391, 592453.900029931 4483312.186372399, 592498.8178604788 4483301.417976599, 592541.447875633 4483291.298748104, 592599.1728049035 4483274.350253186, 592663.0782380642 4483253.859548393)",10
60,58,Undirected,7640,Blue Belt,,10,,,,,30 mph,yes,Blue Belt,"[54581976, 54581971, 54581972, 54581973]",TRUE,,439.505,1,motorway_link,"LINESTRING (592087.4275663919 4483388.585466455, 592126.6282641756 4483378.799127569, 592171.5563923969 4483367.118555167, 592186.8781454345 4483362.455915249, 592204.191633057 4483357.107344883, 592229.9717234024 4483349.043360441, 592297.7677255821 4483327.009996067, 592362.1265696448 4483306.067171943, 592387.9545903408 4483294.840247883, 592403.3031094836 4483285.293498977, 592414.1178388953 4483275.013512775, 592421.5203506558 4483264.458215133, 592427.5641164514 4483254.11926741, 592430.6251537757 4483245.097888827, 592432.5927410168 4483233.343004459, 592432.7634714872 4483219.534240154, 592431.1131171871 4483187.806554248)",10
0,151,Undirected,7645,Brighton Road,,10,,,,,25 mph,yes,,"[573176265, 516501458, 55189317]",FALSE,Brighton Road,71.812,3,tertiary,"LINESTRING (583537.8891897332 4478683.155915879, 583554.3114310865 4478623.501867549, 583555.9202082587 4478617.64710676, 583556.9190104632 4478614.01694839)",10
0,61,Undirected,7726,,,10,,,,,,yes,,"[379692603, 311146173]",TRUE,,50.141,,secondary_link,"LINESTRING (583523.735354024 4478607.152276736, 583532.2966456871 4478602.18548927, 583549.7586309618 4478591.478622623, 583553.1307863969 4478589.473571261, 583557.8688154332 4478586.662251074, 583566.7485998739 4478581.277197924)",10
0,151,Undirected,7727,West North Avenue,,10,,,,,,yes,,"[379692604, 55189326]",FALSE,West North Avenue,33.815,,secondary,"LINESTRING (583523.735354024 4478607.152276736, 583527.3143298421 4478607.891601624, 583546.681265821 4478611.904420254, 583549.9302850224 4478612.573464828, 583556.9190104632 4478614.01694839)",10
61,151,Undirected,7728,Brighton Road,,10,,,,,25 mph,yes,,374188428,FALSE,Brighton Road,34.231,4,tertiary,"LINESTRING (583566.7485998739 4478581.277197924, 583556.9190104632 4478614.01694839)",10
61,0,Undirected,7729,Brighton Road,,10,,,,,25 mph,yes,,"[64764857, 374188428]",FALSE,Brighton Road,46.515,4,tertiary,"LINESTRING (583566.7485998739 4478581.277197924, 583569.135355799 4478573.344033789, 583579.4169161278 4478536.59058648)",10
1,20,Undirected,7813,Greensburg Pike,,10,,,,,35 mph,yes,,"[54512920, 264591641, 551184747, 187422285]",FALSE,Greensburg Pike,181.126,4,tertiary,"LINESTRING (596876.3212003617 4477463.193837789, 596889.8555345843 4477447.071050089, 596915.2874223745 4477416.780535706, 596943.5110381558 4477383.15120206, 596986.8461149288 4477331.532410646, 596992.7648981275 4477324.481513939)",10
62,99,Undirected,7871,I 79,,10,,,,,55 mph,yes,I 79,"[30192898, 183138563, 30193237]",TRUE,,448.129,2,motorway,"LINESTRING (575825.3278494246 4475093.163251523, 575837.4527076143 4475072.093751781, 575849.371713398 4475045.382783304, 575857.2049006703 4475030.064706071, 575868.3284080677 4475009.873214816, 575882.3996879536 4474986.803069725, 575911.4539038853 4474947.010867256, 575970.9286300447 4474859.114740083, 575983.6820841206 4474838.884425976, 575996.1862760584 4474818.140950652, 576008.1815216274 4474797.39233448, 576019.7981816265 4474775.496474521, 576029.4553113499 4474756.078524472, 576036.8597139346 4474739.601753056, 576047.3281267819 4474706.293363652)",10
1,1,Undirected,7902,Brinton Road,,10,,,,,25 mph,yes,,"[54511650, 551184805, 551184806]",FALSE,Brinton Road,90.259,2,tertiary,"LINESTRING (595378.4848799395 4476073.682874025, 595385.8228935822 4476069.057936126, 595393.3917804552 4476064.291618492, 595407.8019264224 4476054.60541474, 595421.956220143 4476044.360879891, 595440.4424355533 4476029.719645945, 595451.1342496391 4476020.230406683)",10
