Id,Label,timeset,d9,d8,d7,d6,d5,d2,d1,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,Cluter-ID,clustering,triangles,eigencentrality
104595608,104595608,,,,4482110.029986,589850.609652,POINT (589850.6096517781 4482110.029986233),104595608,-79.9398623,40.484825,1,1,86,0.022018,0.025102,0,35,0.000028,1,0,0,0,0.081698
104923289,104923289,,,,4470947.845444,581678.683835,POINT (581678.6838350724 4470947.845443998),104923289,-80.037703,40.3851219,4,4,85,0.020962,0.024733,0.000525,25,0.000075,2,0,0.166667,1,0.320481
105185434,105185434,,,,4472394.415777,585244.749368,POINT (585244.7493676054 4472394.415776595),105185434,-79.9955018,40.3977951,3,3,66,0.028114,0.031601,0.000121,32,0.000071,2,0,0.333333,1,0.144002
105709722,105709722,,,,4472615.234223,583324.919958,POINT (583324.9199580094 4472615.234222701),105709722,-80.0180924,40.3999785,3,3,75,0.025087,0.028682,0.000127,59,0.000059,2,0,0,0,0.208736
107479195,107479195,,,,4483253.152346,596390.637957,POINT (596390.6379571545 4483253.152345985),107479195,-79.8625373,40.4943879,2,2,83,0.022628,0.025554,0.000061,18,0.000054,4,0,0,0,0.073373
105840797,105840797,,,,4472302.089004,581142.80396,POINT (581142.8039596122 4472302.089004101),105840797,-80.0438431,40.3973732,3,3,71,0.027921,0.032835,0.02112,45,0.000058,2,0,0,0,0.209005
104595617,104595617,,,,4482082.283574,589908.568167,POINT (589908.568167072 4482082.283574079),104595617,-79.9391825,40.4845688,4,4,85,0.022514,0.026082,0.000453,35,0.00009,1,0,0,0,0.26125
1027080356,1027080356,,,,4473172.544578,582308.192429,POINT (582308.1924287562 4473172.544578115),1027080356,-80.0299999,40.4050998,3,3,71,0.027864,0.032527,0.001264,45,0.00006,2,0,0,0,0.242226
105185446,105185446,,,,4472403.11217,585251.932847,POINT (585251.9328470665 4472403.112170428),105185446,-79.995416,40.3978727,1,1,67,0.027345,0.030408,0,32,0.000029,2,0,0,0,0.048959
104595623,104595623,,,,4482000.766407,590056.52028,POINT (590056.5202802639 4482000.766406818),104595623,-79.9374487,40.4838185,4,4,86,0.022185,0.025886,0.000331,35,0.000082,1,0,0,0,0.324497
