id,osm_node_i,lat,lon,modularity,wprdc_hood,hood_no
2891,104638837,40.4678117,-80.0122827,4,Perry South,62
2894,104639309,40.4687672,-80.0095129,4,Perry South,62
2923,104613357,40.4723523,-80.0166247,4,Perry South,62
2924,104641223,40.4727912,-80.0166476,4,Perry South,62
3056,104647061,40.4574272,-80.0122072,4,Central Northside,19
3057,104647071,40.4579468,-80.0123825,4,Central Northside,19
3058,104647085,40.4584898,-80.0125657,4,Central Northside,19
3059,104647101,40.459072,-80.0127622,4,Central Northside,19
3077,104647894,40.4712813,-80.0072323,4,Perry South,62
3078,104647907,40.4740489,-80.0075592,4,Perry South,62
3255,104658219,40.4696269,-80.0135681,4,Perry South,62
3256,104658230,40.4698511,-80.0139691,4,Perry South,62
3308,104660037,40.4716961,-80.0131804,4,Perry South,62
3309,104660059,40.4716621,-80.0145424,4,Perry South,62
3618,104677289,40.4607811,-80.0232938,4,California-Kirkbride,15
3706,104681734,40.4670264,-80.0112068,4,Perry South,62
3707,104681740,40.4673152,-80.0134825,4,Perry South,62
3708,104681758,40.4671539,-80.0147196,4,Perry South,62
3808,106346415,40.4582581,-80.0075844,4,Central Northside,19
3809,104685318,40.4579005,-80.0095334,4,Central Northside,19
3810,104685327,40.4578083,-80.0100359,4,Central Northside,19
3811,104685333,40.4577198,-80.0105183,4,Central Northside,19
3812,104685347,40.4571851,-80.0135306,4,Central Northside,19
3865,104691224,40.473474,-80.0094298,4,Perry South,62
3896,104692485,40.4622201,-80.0019065,4,Fineview,33
3897,106109471,40.4619315,-80.0020755,4,Fineview,33
3898,2810382590,40.4612839,-80.0020202,4,Fineview,33
3955,104694780,40.4687344,-80.0168452,4,Perry South,62
3956,104694804,40.4679306,-80.0200831,4,Perry South,62
3957,104694815,40.4675671,-80.0219954,4,Perry South,62
4127,104705810,40.4616429,-80.0081756,4,Fineview,33
4128,104705819,40.4620338,-80.0080773,4,Fineview,33
4129,104705826,40.462459,-80.00826,4,Fineview,33
4130,104705830,40.4643977,-80.0089839,4,Fineview,33
4131,104705835,40.4652357,-80.0092685,4,Perry South,62
4283,656071251,40.4554663,-80.0066273,4,Central Northside,19
4506,104726042,40.4692104,-80.0145718,4,Perry South,62
4507,1446482197,40.4687068,-80.0150456,4,Perry South,62
4508,104726028,40.4679235,-80.0158297,4,Perry South,62
4509,1446482195,40.4670972,-80.018239,4,Perry South,62
4510,104726022,40.4668951,-80.0188284,4,Perry South,62
4511,104726016,40.4652585,-80.0206241,4,Perry South,62
4512,104726010,40.464122,-80.0205469,4,Perry South,62
4513,104725987,40.4632303,-80.0198115,4,Perry South,62
4514,104726392,40.4666245,-80.0145473,4,Perry South,62
4515,3195259027,40.4654044,-80.0171186,4,Perry South,62
4974,104712707,40.4549053,-80.0095939,4,Allegheny Center,1
4975,104770143,40.4555179,-80.0097951,4,Central Northside,19
4976,104770159,40.4568597,-80.0102358,4,Central Northside,19
4986,104770334,40.4603231,-80.0217998,4,California-Kirkbride,15
4987,104770345,40.4599109,-80.0241203,4,California-Kirkbride,15
5050,3195259024,40.4680984,-80.0128088,4,Perry South,62
5343,104791795,40.475625,-80.013602,4,Perry North,61
5469,104799200,40.4654473,-80.0059212,4,Fineview,33
6347,104851864,40.4650971,-80.0100426,4,Fineview,33
6348,104851850,40.4648432,-80.0114908,4,Perry South,62
6405,104712728,40.454524,-80.0116023,4,Allegheny Center,1
6406,104854703,40.455105,-80.0117938,4,Central Northside,19
6407,104854715,40.4564774,-80.0122461,4,Central Northside,19
6470,104859124,40.4614078,-80.004452,4,Fineview,33
6471,104859131,40.4615067,-80.0039375,4,Fineview,33
6505,104863139,40.4631577,-80.0137664,4,Perry South,62
6506,104863149,40.4623608,-80.0152189,4,Perry South,62
6637,104874676,40.4591109,-80.0239569,4,Manchester,49
6776,104885277,40.4611288,-80.0009743,4,Fineview,33
6832,104891297,40.479761,-80.0107999,4,Perry North,61
6833,104891309,40.4803383,-80.0114426,4,Perry North,61
6834,104891340,40.4836009,-80.0117768,4,Perry North,61
6974,104897203,40.4662291,-80.020675,4,Perry South,62
6975,104897213,40.4670142,-80.0195269,4,Perry South,62
7169,104908229,40.4642122,-80.0076659,4,Fineview,33
7170,104908239,40.4641336,-80.0082577,4,Fineview,33
7175,1462491575,40.4686941,-80.0194069,4,Perry South,62
7176,5002329444,40.4702166,-80.019688,4,Perry South,62
7266,5010208478,40.4806856,-80.0111011,4,Perry North,61
7267,104912747,40.4831666,-80.0115124,4,Perry North,61
7315,104915027,40.4578568,-80.0159228,4,Central Northside,19
7316,104915004,40.4580508,-80.0148941,4,Central Northside,19
7317,104914987,40.458243,-80.0138753,4,Central Northside,19
7318,104914978,40.4586207,-80.0118722,4,Central Northside,19
7526,4072622999,40.4571897,-80.0163162,4,California-Kirkbride,15
7527,104927382,40.4570291,-80.0168814,4,California-Kirkbride,15
7848,104947265,40.4661044,-80.0116514,4,Perry South,62
7849,104947280,40.4658453,-80.0130015,4,Perry South,62
7990,104968226,40.4590631,-80.006819,4,Central Northside,19
7991,104968235,40.4590184,-80.0063681,4,Central Northside,19
7992,104968252,40.4589905,-80.0055584,4,Fineview,33
8360,104984721,40.4630138,-80.0108759,4,Perry South,62
8361,104984728,40.4626407,-80.0127532,4,Perry South,62
8362,104984737,40.4625246,-80.0133681,4,Perry South,62
8488,104991375,40.4625019,-80.0242542,4,California-Kirkbride,15
8489,104991383,40.4622516,-80.0256489,4,California-Kirkbride,15
8571,104996891,40.4556075,-80.009317,4,Central Northside,19
8631,104999851,40.4594931,-80.00842,4,Fineview,33
8632,1252520624,40.4591955,-80.0099567,4,Central Northside,19
8633,104999886,40.4588122,-80.0119354,4,Central Northside,19
8657,105002545,40.4710211,-80.0106723,4,Perry South,62
8658,105002550,40.4714337,-80.0108027,4,Perry South,62
8659,105002554,40.4734798,-80.0112281,4,Perry South,62
8660,105002565,40.4737969,-80.011234,4,Perry South,62
8680,105003436,40.4609954,-80.0261522,4,California-Kirkbride,15
8681,105003451,40.4607317,-80.0276528,4,Manchester,49
8863,105015229,40.4576336,-80.0178068,4,California-Kirkbride,15
8864,105015237,40.4593952,-80.0183842,4,California-Kirkbride,15
8871,105015427,40.4743349,-80.0099138,4,Perry South,62
8872,105015448,40.4750946,-80.0105239,4,Perry South,62
9009,105022715,40.4630794,-80.0237407,4,California-Kirkbride,15
9010,105022722,40.4629471,-80.0243967,4,California-Kirkbride,15
9011,105022748,40.462382,-80.0273789,4,California-Kirkbride,15
9146,104726048,40.4699063,-80.0139124,4,Perry South,62
9221,105032888,40.4759966,-80.013928,4,Perry North,61
9222,105032903,40.4772458,-80.0136403,4,Perry North,61
9298,105037070,40.4633684,-80.0136718,4,Perry South,62
9299,105037076,40.4632363,-80.0147514,4,Perry South,62
9300,105037087,40.462344,-80.0164179,4,Perry South,62
9844,105066176,40.466869,-80.008375,4,Perry South,62
9845,105066191,40.4677896,-80.0087015,4,Perry South,62
9846,105066204,40.4688866,-80.0080571,4,Perry South,62
9847,105066213,40.4697487,-80.0074474,4,Perry South,62
9848,686152143,40.4710742,-80.0078774,4,Perry South,62
9961,104685363,40.4569985,-80.0145494,4,Central Northside,19
9962,105070554,40.4586367,-80.015086,4,Central Northside,19
9963,105070564,40.4593048,-80.0153049,4,Central Northside,19
9964,105070574,40.4609838,-80.0146599,4,Perry South,62
9965,105070586,40.4618592,-80.0140999,4,Perry South,62
9966,105070597,40.4624748,-80.0139243,4,Perry South,62
9967,105070609,40.4629398,-80.0137104,4,Perry South,62
9968,105070632,40.4645684,-80.0138746,4,Perry South,62
9969,105070646,40.4649524,-80.0140063,4,Perry South,62
9970,105070662,40.4654109,-80.0141573,4,Perry South,62
9971,105070667,40.4660044,-80.0143418,4,Perry South,62
9972,105070685,40.4667942,-80.0145937,4,Perry South,62
10029,105075933,40.4620568,-80.0240833,4,California-Kirkbride,15
10030,105075946,40.4634163,-80.0245589,4,California-Kirkbride,15
10332,105095026,40.4594836,-80.014396,4,Central Northside,19
10333,104712739,40.454333,-80.0126015,4,Allegheny Center,1
10334,105095066,40.4549156,-80.0127913,4,Central Northside,19
10335,105095072,40.4562886,-80.0132386,4,Central Northside,19
10347,107487578,40.463749,-80.002063,4,Fineview,33
10480,104911763,40.4630925,-80.0175886,4,Perry South,62
10481,104725980,40.4623679,-80.0186647,4,Perry South,62
10568,105115253,40.4743916,-80.00807,4,Perry South,62
10569,105115259,40.4747362,-80.0083855,4,Perry South,62
10584,105116415,40.4630747,-80.0128956,4,Perry South,62
10585,105116423,40.4634602,-80.0109687,4,Perry South,62
11095,104647854,40.4702293,-80.0069018,4,Perry South,62
11098,105066244,40.4720626,-80.0082083,4,Perry South,62
11099,105145302,40.4720825,-80.0093747,4,Perry South,62
11258,5002328895,40.474908,-80.0118782,4,Perry South,62
11259,5002328879,40.4749577,-80.0112558,4,Perry North,61
11260,105158417,40.4687275,-80.0193611,4,Perry South,62
11290,105164616,40.4608746,-80.0152098,4,Perry South,62
11291,105164633,40.4611616,-80.0153873,4,Perry South,62
11292,105164640,40.4615333,-80.0157039,4,Perry South,62
11298,105165220,40.4566728,-80.0112188,4,Central Northside,19
11299,105165227,40.4565735,-80.0117408,4,Central Northside,19
11300,105070525,40.4560956,-80.0142536,4,Central Northside,19
11309,105165804,40.4532914,-80.0143154,4,Allegheny Center,1
11871,2810380032,40.4606439,-80.0072613,4,Fineview,33
11872,105196085,40.4617354,-80.0071391,4,Fineview,33
12158,105217201,40.4625731,-80.0026142,4,Fineview,33
12159,2810382531,40.4619377,-80.0026209,4,Fineview,33
12160,104821897,40.4613022,-80.0026432,4,Fineview,33
12532,107671278,40.4622768,-80.0069952,4,Fineview,33
12533,105240163,40.4624272,-80.0061939,4,Fineview,33
12534,105240170,40.4625163,-80.0057104,4,Fineview,33
12587,105246690,40.4788811,-80.0092338,4,Perry North,61
12588,105246720,40.4817363,-80.0101325,4,Perry North,61
12652,105251666,40.4551872,-80.0162061,4,Central Northside,19
12653,105740565,40.4554064,-80.0150831,4,Central Northside,19
12680,105253538,40.4588207,-80.021301,4,California-Kirkbride,15
12751,105257623,40.4658219,-80.0101735,4,Perry South,62
12752,105257642,40.4663625,-80.0073176,4,Perry South,62
12800,105262511,40.4635448,-80.0130555,4,Perry South,62
12898,656071236,40.455715,-80.0053159,4,Central Northside,19
12899,105679870,40.456885,-80.0056886,4,Central Northside,19
12900,105679882,40.4575433,-80.0058982,4,Central Northside,19
13044,104726072,40.4703383,-80.0121157,4,Perry South,62
13045,105688250,40.4734331,-80.0128693,4,Perry South,62
13088,105690632,40.4592347,-80.0164,4,California-Kirkbride,15
