id,label,timeset,osm_node_id,lat,lon,osm_label,neighborhood,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,componentnumber,strongcompnum
1,104185739,,104185739,40.4444611,-80.0399041,,Elliott,0,3,3,0.0,3.0,3.0,9.0,0.20863309352517986,0.31870552818828674,0.0,0.0,0.0,67,0,29
2,104185749,,104185749,40.4436411,-80.0389524,,Elliott,1,3,4,1.0,3.0,4.0,8.0,0.22580645161290322,0.3248299319727891,21.0,0.0,0.0,67,0,28
3,104185758,,104185758,40.4434668,-80.0387703,,Elliott,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67,0,27
4,104185772,,104185772,40.5007586,-79.8406686,,,0,3,3,0.0,3.0,3.0,8.0,0.25252525252525254,0.3654285714285713,0.0,0.0,0.0,60,0,55
5,104185781,,104185781,40.5007989,-79.8394403,,,1,3,4,1.0,3.0,4.0,6.0,0.36666666666666664,0.5257575757575758,5.5,0.0,0.0,60,0,54
6,104185788,,104185788,40.5008795,-79.8375759,,,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,60,0,53
7,104185798,,104185798,40.4754066,-80.1042607,,,0,3,3,0.0,3.0,3.0,4.0,0.391304347826087,0.48148148148148145,0.0,0.0,0.0,88,0,74
8,104185808,,104185808,40.4787431,-80.1057757,,,1,2,3,1.0,2.0,3.0,3.0,0.5555555555555556,0.6666666666666667,3.0,0.0,0.0,88,0,73
9,104185823,,104185823,40.3615658,-80.0059554,,,0,3,3,0.0,3.0,3.0,4.0,0.41935483870967744,0.5256410256410257,0.0,0.0,0.0,9,0,88
10,104185830,,104185830,40.3601416,-80.0034712,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,87
11,104185836,,104185836,40.3765092,-80.0520547,,,0,3,3,0.0,3.0,3.0,2.0,0.7142857142857143,0.8,0.0,0.0,0.0,33,0,94
12,5664370937,,5664370937,40.3751678,-80.0513336,,,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,33,0,93
13,4992602504,,4992602504,40.3756497,-80.0501065,,,0,3,3,0.0,3.0,3.0,4.0,0.5,0.6354166666666666,0.0,0.0,0.0,33,0,102
14,104185917,,104185917,40.394479,-79.9739474,,,0,3,3,0.0,3.0,3.0,15.0,0.14195583596214512,0.24587486587486584,0.0,0.0,0.0,87,0,148
15,104185921,,104185921,40.3956168,-79.9738535,,,1,3,4,1.0,3.0,4.0,14.0,0.15547703180212014,0.2623042992361175,39.0,0.0,0.0,87,0,147
16,104185927,,104185927,40.3964363,-79.9737743,,,1,2,3,1.0,2.0,3.0,3.0,0.5,0.611111111111111,12.0,0.0,0.0,87,0,146
17,104185944,,104185944,40.4683245,-79.8292524,,,0,3,3,0.0,3.0,3.0,2.0,0.7142857142857143,0.8,0.0,0.0,0.0,28,0,154
18,2202883372,,2202883372,40.4683841,-79.8271855,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,153
19,104186009,,104186009,40.4493907,-79.8294543,,,0,3,3,0.0,3.0,3.0,9.0,0.22988505747126436,0.3690079365079365,0.0,0.0,0.0,28,0,175
20,104186019,,104186019,40.4494801,-79.8283464,,,1,2,3,1.0,2.0,3.0,8.0,0.234375,0.3540476190476191,15.0,0.0,0.0,28,0,174
21,104186026,,104186026,40.4498781,-79.8275407,,,1,2,3,1.0,2.0,3.0,7.0,0.2653061224489796,0.38791208791208803,26.0,0.0,0.0,28,0,173
22,104186034,,104186034,40.4497741,-79.8270317,,,1,2,3,1.0,2.0,3.0,6.0,0.3055555555555556,0.4303030303030304,33.0,0.0,0.0,28,0,172
23,104186052,,104186052,40.3813797,-79.901292,,,0,3,3,0.0,3.0,3.0,15.0,0.1384083044982699,0.20647616272616265,0.0,0.0,0.0,0,0,256
24,104186062,,104186062,40.3808403,-79.9032124,,,1,3,4,1.0,3.0,4.0,14.0,0.15354330708661418,0.22342856573625797,60.38095238095238,0.0,0.0,0,0,255
25,104186067,,104186067,40.3804072,-79.9046608,,,1,3,4,1.0,3.0,4.0,13.0,0.16173120728929385,0.22927174546892834,106.02857142857142,0.0,0.0,0,0,254
26,104186078,,104186078,40.3789431,-79.9054242,,,1,3,4,1.0,3.0,4.0,12.0,0.17434210526315788,0.2507494078248793,132.00952380952378,0.0,0.0,0,0,253
27,104186086,,104186086,40.378037,-79.9058624,,,1,2,3,1.0,2.0,3.0,11.0,0.18584070796460178,0.25317546210403347,74.0,0.0,0.0,0,0,252
28,104186099,,104186099,40.4826482,-80.0302919,,Brighton Heights,0,3,3,0.0,3.0,3.0,8.0,0.25,0.3463464696223316,0.0,0.0,0.0,7,0,286
29,104186104,,104186104,40.4827012,-80.032767,,Brighton Heights,1,3,4,1.0,3.0,4.0,3.0,0.5,0.6111111111111112,9.0,0.0,0.0,7,0,285
30,104186114,,104186114,40.4821027,-80.0346352,,Brighton Heights,1,2,3,1.0,2.0,3.0,4.0,0.46153846153846156,0.5972222222222222,5.0,0.0,0.0,7,0,284
31,104186259,,104186259,40.4986655,-80.0500256,,,0,3,3,0.0,3.0,3.0,6.0,0.3,0.4015873015873015,0.0,0.0,0.0,37,0,308
32,104186263,,104186263,40.4994039,-80.0514056,,,1,2,3,1.0,2.0,3.0,5.0,0.3488372093023256,0.4433333333333333,15.0,0.0,0.0,37,0,302
