source,target,id,osm_way_id,osm_bridge_relation_id,osm_bridge,osm_highway,osm_label,bridge_id,distance,within_boundaries
515,516,109,11681159,,,,,,27.86860937,FALSE
521,522,110,11681337,,,,Homeridge Drive,,36.88797167,TRUE
527,528,111,11681393,,,,,,193.6976239,FALSE
529,530,112,11681405,,,,Grimes Avenue,,41.51914023,TRUE
260,536,113,11833425,,,,Smokey Wood Drive,,114.7292065,FALSE
542,543,114,11681890,,,,,,52.98612303,TRUE
543,544,115,11681890,,,,,,52.26070979,TRUE
553,554,116,11682189,,,,,,16.91117756,FALSE
563,564,117,11682439,,,,,,12.47369404,FALSE
585,586,118,11682885,,,,Brighton Woods Road,,13.21779849,TRUE
587,588,119,11682885,,,,Brighton Woods Road,,40.57007491,TRUE
588,589,120,11682885,,,,Brighton Woods Road,,23.12882854,TRUE
589,590,121,11682885,,,,Brighton Woods Road,,17.95572857,TRUE
596,597,122,11682949,,,,Edisto Street,,22.28717579,TRUE
601,602,123,11683017,,,,,,25.84110393,FALSE
573,606,124,11818804,,,,Sussex Avenue,,42.26516321,TRUE
608,609,125,11683242,,,,,,54.42521979,TRUE
125,610,126,11683245,,,,,,61.30080303,FALSE
613,614,127,11683373,,,,Plum Street,,83.66533393,FALSE
615,616,128,11683376,,,,,,117.6984272,FALSE
622,623,129,11683431,,,,,,242.1743501,FALSE
629,630,130,11683588,,,,,,134.6917362,FALSE
633,634,131,350378229,,,,East Swissvale Avenue,,96.25925202,FALSE
636,637,132,11683796,,,,Bigham Street,,151.4786059,TRUE
640,641,133,11683796,,,,Bigham Street,,45.38308523,TRUE
642,643,134,11683796,,,,Bigham Street,,61.3974832,TRUE
648,649,135,11683935,,,,Wiltsie Street,,93.1369128,TRUE
663,664,136,11684148,,,,,,17.47471997,TRUE
666,667,137,11684173,,,,,,178.4000374,TRUE
127,673,138,11684600,,,,,,44.67468768,FALSE
126,674,139,11684602,,,,,,53.75640763,FALSE
676,678,140,11684629,,,,,,16.43077229,FALSE
685,686,141,11684927,,,,El Paso Street,,54.69991585,FALSE
688,689,142,11684975,,,,Elizabeth Lane,,48.12453519,FALSE
698,699,143,11685455,,,,,,34.27239987,FALSE
703,704,144,11685529,,,,Charlemma Court,,35.00850833,FALSE
706,707,145,11685533,,,,Centre Avenue,,55.12008936,TRUE
708,709,146,11685539,,,,Robin Way,,32.86509907,TRUE
709,710,147,11685539,,,,Robin Way,,67.69065856,TRUE
711,712,148,11806349,,,,Fleming Street,,49.72254896,FALSE
712,713,149,11685543,,,,Miriam Street,,143.4451636,FALSE
714,715,150,11685546,,,,South Harrison Avenue,,124.0202505,FALSE
715,716,151,11685546,,,,South Harrison Avenue,,49.44749419,FALSE
724,725,152,11685610,,,,Fairview Road,,16.46388558,FALSE
729,730,153,11685610,,,,Fairview Road,,17.03401863,FALSE
732,733,154,11685697,,,,Fairview Road,,113.1296383,FALSE
739,740,155,11685723,,,,Cortland Street,,14.5064374,FALSE
744,745,156,11685825,,,,Oglethorpe Avenue,,164.2981556,TRUE
746,747,157,11685832,,,,Pinetree Road,,122.352298,FALSE
755,756,158,11685901,,,,Edgemont Street,,83.05327655,TRUE
754,757,159,11685903,,,,Edgemont Street,,195.1798661,TRUE
770,771,160,11685950,,,,Penny Street,,101.1743866,FALSE
779,780,161,11685997,,,,Station Street,,26.12887707,TRUE
781,782,162,11685997,,,,Station Street,,31.52443613,TRUE
782,783,163,11685997,,,,Station Street,,31.3777928,TRUE
789,790,164,11686027,,,,Bergman Street,,70.71229047,TRUE
790,791,165,11686027,,,,Bergman Street,,49.92964424,TRUE
791,792,166,11686027,,,,Bergman Street,,139.1036766,TRUE
792,793,167,11686027,,,,Bergman Street,,187.4523616,TRUE
793,794,168,11686027,,,,Bergman Street,,141.5054612,TRUE
795,796,169,11686031,,,,Lyndhurst Avenue,,184.7238668,FALSE
263,799,170,11686038,,,,Aurelius Avenue,,50.91755812,FALSE
263,800,171,11686038,,,,Aurelius Avenue,,16.8257483,FALSE
805,806,172,11686046,,,,Jennie Street,,57.15626091,TRUE
807,808,173,11686089,,,,Hunter Street,,104.841969,FALSE
808,809,174,11686089,,,,Hunter Street,,137.9020264,FALSE
812,813,175,11686093,,,,Hunter Street,,18.62031687,FALSE
813,814,176,11686093,,,,Hunter Street,,104.8431931,FALSE
818,819,177,11686096,,,,Hunter Street,,75.93236067,FALSE
819,820,178,11686096,,,,Hunter Street,,13.58849987,FALSE
824,825,179,11686114,,,,South 2nd Street,,98.91006892,TRUE
826,827,180,11686122,,,,South 2nd Street,,72.61345428,FALSE
827,828,181,11686122,,,,South 2nd Street,,57.89084986,FALSE
828,829,182,11686122,,,,South 2nd Street,,106.8346355,FALSE
829,830,183,11686122,,,,South 2nd Street,,43.21115538,FALSE
833,834,184,11686166,,,,Vulcan Street,,59.95683178,FALSE
64,838,185,11686239,,,,G Street,,43.47871719,FALSE
839,840,186,11686246,,,,Jane Way,,127.3576268,FALSE
845,846,187,11686283,,,,North Euclid Avenue,,58.68293627,TRUE
847,848,188,11686325,,,,Blenheim Court,,72.13837556,TRUE
851,852,189,11686349,,,,Sherlock Street,,94.11734897,TRUE
852,853,190,11686349,,,,Sherlock Street,,97.64377272,TRUE
855,856,191,11686356,,,,Hillcrest Street,,16.01242805,FALSE
520,860,192,11686374,,,,Hillcrest Street,,7.87445737,TRUE
859,860,193,11686374,,,,Hillcrest Street,,84.54304056,TRUE
520,861,194,11686374,,,,Hillcrest Street,,87.72064787,TRUE
868,869,195,11686398,,,,Greystone Drive,,167.220545,TRUE
870,871,196,11686425,,,,Page Drive,,90.34507826,FALSE
877,878,197,11686457,,,,Gerwig Street,,38.04662156,FALSE
878,879,198,11686457,,,,Gerwig Street,,17.93732858,FALSE
879,880,199,11686457,,,,Gerwig Street,,22.92488552,FALSE
881,882,200,11686489,,,,Rickenbach Street,,66.31399895,TRUE
453,886,201,11686520,,,,Athletic Street,,47.92952234,FALSE
885,886,202,11686520,,,,Athletic Street,,49.01355376,FALSE
453,887,203,11686520,,,,Athletic Street,,54.82847214,FALSE
887,888,204,11686520,,,,Athletic Street,,145.2489993,FALSE
888,889,205,11686520,,,,Athletic Street,,52.63167187,FALSE
891,892,206,11686527,,,,Monongahela Boulevard,,215.7272972,FALSE
901,902,207,11686554,,,,Lewis Court,,55.11382899,FALSE
