index,step_id,edge_id,bundle_id,times_edge_crossed,times_bundle_crossed
1,1,121999,,1,
2,1,122000,,1,
3,1,255100,,1,
4,1,255099,,1,
5,1,255098,,1,
6,1,255097,,1,
7,1,255096,,1,
8,1,255095,,1,
9,1,255094,,1,
10,1,255093,,1,
11,1,255092,,1,
12,1,255091,,1,
13,1,255090,,1,
14,1,255089,,1,
15,1,255088,,1,
16,1,255087,,1,
17,1,122179,,1,
18,1,122180,,1,
19,1,122181,,1,
20,1,122182,,1,
21,1,122183,,1,
22,1,122184,,1,
23,1,122185,,1,
24,1,122186,,1,
25,1,122187,,1,
26,1,73630,,1,
27,1,73631,,1,
28,1,242802,,1,
29,1,242801,,1,
30,1,242800,,1,
31,1,242799,,1,
32,1,242798,,1,
33,1,242797,,1,
34,1,242796,,1,
35,2,254337,147,1,1
36,3,254338,,1,
37,3,91365,,1,
38,3,91366,,1,
39,3,91367,,1,
40,3,91368,,1,
41,3,103684,,1,
42,3,103685,,1,
43,3,103686,,1,
44,3,103687,,1,
45,3,103688,,1,
46,3,103689,,1,
47,3,103690,,1,
48,3,103691,,1,
49,3,103692,,1,
50,3,103693,,1,
51,3,103694,,1,
52,3,142715,,1,
53,3,142716,,1,
54,3,142717,,1,
55,3,142696,,1,
56,3,142697,,1,
57,3,142698,,1,
58,3,142699,,1,
59,3,142700,,1,
60,3,142701,,1,
61,3,142692,,1,
62,3,142743,,1,
63,3,142744,,1,
64,3,142745,,1,
65,3,142746,,1,
66,4,142686,173,1,1
67,4,142687,173,1,1
68,4,142688,173,1,1
69,4,142689,173,1,1
70,4,142708,173,1,1
71,4,142709,173,1,1
72,4,142710,173,1,1
73,4,142707,173,1,1
74,4,142735,173,1,1
75,4,142736,173,1,1
76,4,142737,173,1,1
77,4,142738,173,1,1
78,4,142730,173,1,1
79,4,142731,173,1,1
80,4,142732,173,1,1
81,4,142733,173,1,1
82,4,142734,173,1,1
83,5,142704,174,1,1
84,5,142705,174,1,1
85,6,142678,,1,
86,6,142679,,1,
87,6,142706,,1,
88,6,142720,,1,
89,6,142721,,1,
90,6,142675,,1,
91,6,142719,,1,
92,6,142676,,1,
93,7,142718,175,1,1
94,8,142714,,1,
95,8,142722,,1,
96,8,142723,,1,
97,8,142724,,1,
98,8,142725,,1,
99,8,142726,,1,
100,8,142727,,1,
101,8,142728,,1,
102,8,142729,,1,
103,8,103684,,2,
104,8,103685,,2,
105,8,103686,,2,
106,8,103687,,2,
107,8,103688,,2,
108,8,103689,,2,
109,8,103690,,2,
110,8,103691,,2,
111,8,103692,,2,
112,8,103693,,2,
113,8,103694,,2,
114,8,142715,,2,
115,8,142716,,2,
116,8,142717,,2,
117,8,142696,,2,
118,8,142697,,2,
119,8,142698,,2,
120,8,142699,,2,
121,8,142700,,2,
122,8,142701,,2,
123,8,272082,,1,
124,8,272081,,1,
125,8,217771,,1,
126,8,217770,,1,
127,8,217769,,1,
128,8,217768,,1,
129,8,217767,,1,
130,8,217766,,1,
131,8,217765,,1,
132,8,217764,,1,
133,8,217763,,1,
134,8,217762,,1,
135,8,217761,,1,
136,8,217760,,1,
137,8,217759,,1,
138,8,217758,,1,
139,8,217757,,1,
140,8,217756,,1,
141,8,217755,,1,
142,8,217754,,1,
143,8,217753,,1,
144,8,217752,,1,
145,8,50100,,1,
146,8,50101,,1,
147,8,50102,,1,
148,8,50103,,1,
149,8,50104,,1,
150,8,50105,,1,
151,8,50106,,1,
152,8,50107,,1,
153,8,50108,,1,
154,8,50109,,1,
155,8,248024,,1,
156,8,248023,,1,
157,8,248022,,1,
158,8,248021,,1,
159,8,248020,,1,
160,8,248019,,1,
161,8,248018,,1,
162,8,248017,,1,
163,8,248016,,1,
164,8,248015,,1,
165,8,248014,,1,
166,8,248013,,1,
167,8,248012,,1,
168,8,273423,,1,
169,8,200204,,1,
170,8,208146,,1,
171,8,170170,,1,
172,8,208974,,1,
173,8,208973,,1,
174,8,208972,,1,
175,8,208971,,1,
176,8,208970,,1,
177,8,208969,,1,
178,8,208968,,1,
179,8,208967,,1,
180,8,208966,,1,
181,8,208965,,1,
182,8,208964,,1,
183,8,208963,,1,
184,8,208962,,1,
185,8,208961,,1,
186,8,208960,,1,
187,8,208959,,1,
188,8,208958,,1,
189,8,208957,,1,
190,8,208956,,1,
191,8,208955,,1,
192,8,208954,,1,
193,8,208953,,1,
194,8,208952,,1,
195,9,157514,1,1,1
196,10,272083,,1,
197,10,237338,,1,
198,10,237337,,1,
199,11,272084,176,1,1
200,12,272086,,1,
201,12,272085,,1,
202,12,23750,,1,
203,12,23751,,1,
204,12,23752,,1,
205,12,23753,,1,
206,12,23754,,1,
207,12,23755,,1,
208,12,23756,,1,
209,12,23757,,1,
210,12,23758,,1,
211,12,23759,,1,
212,12,23760,,1,
213,12,51004,,1,
214,13,125170,157,1,1
215,14,125168,,1,
216,14,125169,,1,
217,14,237346,,1,
218,14,237345,,1,
219,14,237344,,1,
220,14,237343,,1,
221,14,237342,,1,
222,14,237341,,1,
223,14,237340,,1,
224,14,237339,,1,
225,14,237349,,1,
226,14,237348,,1,
227,14,237347,,1,
228,14,142792,,1,
229,14,90959,,1,
230,14,90960,,1,
231,14,90961,,1,
232,14,90962,,1,
233,14,90963,,1,
234,14,90964,,1,
235,14,142762,,1,
236,14,142763,,1,
237,14,142764,,1,
238,14,90206,,1,
239,14,90207,,1,
240,14,90208,,1,
241,14,137548,,1,
242,14,137549,,1,
243,14,137544,,1,
244,14,137545,,1,
245,14,137546,,1,
246,14,137547,,1,
247,15,90209,49,1,1
248,16,90210,,1,
249,16,90211,,1,
250,16,90212,,1,
251,16,90213,,1,
252,16,90214,,1,
253,16,90215,,1,
254,16,101651,,1,
255,16,101652,,1,
256,16,101653,,1,
257,16,101654,,1,
258,16,91376,,1,
259,16,91377,,1,
260,16,91378,,1,
261,16,91379,,1,
262,16,91380,,1,
263,16,91381,,1,
264,16,91382,,1,
265,16,91383,,1,
266,16,91384,,1,
267,16,91385,,1,
268,16,91386,,1,
269,16,91387,,1,
270,16,91388,,1,
271,16,91389,,1,
272,16,91390,,1,
273,16,145037,,1,
274,16,145038,,1,
275,16,145039,,1,
276,16,145040,,1,
277,16,145041,,1,
278,16,130487,,1,
279,16,130488,,1,
280,16,130489,,1,
281,16,130490,,1,
282,16,145053,,1,
283,16,145054,,1,
