node_index,bridge_id,direction
88165,4245922,to
88166,4245923,from
88166,4245923,to
88169,4245923,from
88169,4245923,from
88169,4245923,to
88169,4245923,to
88170,54581124,from
88170,4245923,from
88170,54581124,from
88170,4245923,to
88170,54581124,to
88170,54581124,to
88171,4245928,from
88171,4245928,from
88171,4245928,to
88171,4245928,to
88172,3987005,from
88172,3987005,to
88347,9248353,from
88347,9248353,to
88531,9219412,from
88531,9219412,to
88533,9219411,from
88533,9219411,to
88534,9219411,from
88534,9219411,to
88535,9219411,from
88535,9219411,from
88535,9219411,to
88535,9219411,to
88592,9248102,from
88592,9248102,to
88594,9248101,from
88595,9248101,from
88595,9248101,to
88596,9248102,from
88597,9248102,from
88597,9248102,to
88620,9219367,from
88620,9219367,to
88683,9248592,from
88683,9248592,to
88684,9248592,from
88684,9248592,from
88684,9248592,to
88684,9248592,to
88685,9248592,from
88685,9248592,to
88686,3903715,from
88687,3903715,from
88687,3903715,to
88688,3903715,from
88688,3903715,to
88689,3903715,to
88690,3903715,from
88690,3903715,to
88710,3903715,from
88711,3903715,from
88711,3903715,to
88724,138548789,to
88804,3903716,from
88804,3903716,to
89096,9248102,to
89649,9155826,from
89649,9155826,to
89650,9155826,from
89650,9155826,to
89711,9228920,from
89779,9340973,from
89863,9219371,from
89863,9219371,to
89866,9219371,from
89866,9219371,to
90090,54358137,from
90119,54362088,from
90172,51385183,from
90172,51385183,to
90173,51385183,from
90173,51385183,to
90177,51385204,to
90180,51385204,from
90261,9248084,from
90261,6892034,from
90261,132781826,from
90261,9248084,to
90261,6892034,to
90261,132781826,to
90262,9248084,from
90262,9248084,to
90263,9248084,to
90351,4246068,from
90351,4246068,to
90376,9229067,to
90382,9229067,from
90383,9229067,to
90391,9229067,from
90992,9045134,to
90999,9045134,to
91017,9045134,from
91090,9045134,from
91105,511174108,from
91105,511174108,to
91130,4468624,to
91131,4468624,from
91132,4468624,to
91158,4246069,from
91159,4246069,from
91159,4246069,to
91160,4246069,from
91160,4246069,to
91161,4246069,from
91161,4246069,to
91162,4246069,from
91162,4246069,to
91163,4246069,from
91163,4246069,to
91164,4246069,from
91164,4246069,to
91165,4246069,from
91165,4246069,to
91166,4246069,from
91166,4246069,to
91167,4246069,from
91167,4246069,to
91168,4246069,from
91168,4246069,to
91169,4246069,from
91169,4246069,to
91170,4246069,from
91170,4246069,to
91171,4246069,from
91171,4246069,to
91172,4246069,from
91172,4246069,to
91188,4246069,from
91188,4246069,from
91188,4246069,to
91189,4246069,from
91190,4246069,from
91190,4246069,to
91191,4246069,from
91191,4246069,to
91192,4246069,from
91192,4246069,to
91193,4246069,from
91193,4246069,to
91194,4246069,from
91194,4246069,to
91195,4246069,from
91195,4246069,to
91196,4246069,from
91196,4246069,to
91197,4246069,from
91197,4246069,to
91198,4246069,from
91198,4246069,to
91199,4246069,from
91199,4246069,to
91246,4246070,from
91247,4246070,from
91247,4246070,to
91248,4246070,from
91248,4246070,to
91249,4246070,from
91249,4246070,to
91250,4246070,from
91250,4246070,to
91251,4246070,from
91251,4246070,to
91306,9248084,from
91306,9248084,to
91306,9248084,to
91307,9248084,from
91307,9248084,to
91308,9248084,from
91308,9248084,to
91309,9248084,from
91309,9248084,to
91310,9248084,from
91310,9248084,to
91311,9248084,from
91311,9248084,to
91312,6892034,from
91312,6892034,to
91313,6892034,from
91313,6892034,to
91314,6892034,from
91314,6892034,to
91315,6892034,from
91315,6892034,from
91315,6892034,to
91317,9248084,from
91318,9248084,from
91318,9248084,to
91319,9248084,from
91319,9248084,to
91320,9248084,from
91320,9248084,to
91322,9248085,from
91323,9248085,from
91323,9248085,to
91324,9248085,from
91324,9248085,to
91325,9248085,from
91325,9248085,to
91326,9248085,from
91326,9248085,to
91327,9248084,from
91327,9248085,to
91327,9248084,to
91328,9248084,from
91328,9248084,to
91354,54219361,from
91355,54219361,from
91355,54219361,to
91356,54219361,from
91356,54219361,to
91357,54219361,from
91357,54219361,to
91358,54219361,from
91358,54219361,to
91359,54219361,from
91359,54219361,to
91360,9248084,from
91360,54219361,to
91360,9248084,to
91375,54223852,from
91375,54223852,to
91391,54223852,from
91391,54223852,to
91392,54223852,from
91392,54223852,from
91392,54223852,to
91392,54223852,to
91393,54223852,from
91393,54223852,from
91393,54223852,to
91393,54223852,to
91394,54223852,from
91394,54223852,from
91394,54223852,to
91394,54223852,to
91395,54223852,from
91395,54223852,from
91395,54223852,to
91395,54223852,to
91396,54223852,from
91396,54223852,from
91396,54223852,to
91396,54223852,to
91397,54223852,from
91397,54223852,from
91397,54223852,to
91397,54223852,to
91398,54223852,from
91398,54223852,from
91398,54223852,to
91398,54223852,to
91399,54223852,from
91399,54223852,from
91399,54223852,to
91399,54223852,to
91400,54223852,from
91400,54223852,from
91400,54223852,to
91400,54223852,to
91401,54223852,from
91401,54223852,from
91401,54223852,to
91401,54223852,to
91402,54223852,from
91402,54223852,from
91402,54223852,to
91402,54223852,to
91403,54223852,from
91403,54223852,from
91403,54223852,to
91403,54223852,to
91404,54223852,from
91404,54223852,from
91404,54223852,to
91404,54223852,to
91405,54223852,from
91405,54223852,from
91405,54223852,to
91405,54223852,to
91406,54223852,from
91406,54223852,from
91406,54223852,to
91406,54223852,to
91407,54223852,from
91407,54223852,from
91407,54223852,to
91407,54223852,to
91434,9229313,from
91463,9229314,from
91475,9229314,to
91481,9229313,from
91486,9229314,to
91488,9229314,from
91501,5424559,from
91501,5424559,to
91524,67076756,from
91524,67076756,to
91600,9219297,from
91600,9219297,to
91601,9219297,from
91601,9219297,from
91601,9219297,to
91601,9219297,to
91602,9219297,from
91602,9219297,from
91602,9219297,to
91602,9219297,to
91603,9219297,from
91603,9219297,from
91603,9219297,to
91603,9219297,to
91604,9219297,from
91604,9219297,to
91615,9219296,from
91615,9219296,to
91622,9229359,from
91622,9229359,from
91622,9229359,to
91622,9229359,to
91623,9229359,from
91623,9229359,to
91916,54455368,from
91916,54455368,to
91996,55410190,from
91996,55410190,to
92021,54313947,to
92054,9248100,from
92054,9248100,to
92079,5424559,from
92079,5424559,to
92081,9053095,from
92081,9053095,to
92082,9053095,to
92083,9053095,from
92084,9053095,from
92084,9053095,to
92085,9053095,to
92118,9248101,to
92135,9248100,from
92135,9248100,from
92135,9248100,to
92135,9248100,to
92136,9248100,from
92136,9248100,from
92136,9248100,to
92136,9248100,to
92137,9248100,from
92137,9248100,from
92137,9248100,to
92137,9248100,to
92138,5424559,from
92138,5424559,from
92138,5424559,to
92138,5424559,to
92167,54313944,from
92226,54313944,to
92237,4246068,from
92238,54313947,from
92244,4246068,from
92245,4246068,from
92245,4246068,to
92246,4246068,from
92246,4246068,to
92247,4246068,from
92247,4246068,to
92248,4246068,from
92248,4246068,to
92249,4246068,from
92249,4246068,to
92250,4246068,from
92250,4246068,to
92251,4246068,from
92251,4246068,to
92252,4246068,from
92252,4246068,to
92253,4246068,from
92253,4246068,to
92254,4246068,from
92254,4246068,to
92255,4246068,from
92255,4246068,to
92256,4246068,from
92256,4246068,to
92257,4246068,from
92257,4246068,to
92258,4246068,from
92258,4246068,to
92261,54327136,from
92261,54327265,to
92262,54327136,from
92262,54327136,to
92263,54327136,from
92263,54327136,to
92264,54327136,to
92273,9053196,from
92349,54327265,from
92350,54327265,from
92350,54327265,to
92351,54327265,from
92351,54327265,to
92352,54327265,from
92352,54327265,to
92366,4246068,from
92366,4246068,to
92367,4246068,from
92367,4246068,to
92368,4246068,from
92368,4246068,to
92369,4246068,from
92369,4246068,to
92370,4246068,from
92370,4246068,to
92371,4246068,from
92371,4246068,to
92372,4246068,from
92372,4246068,to
92373,4246068,from
92373,4246068,to
92374,4246068,from
92374,4246068,to
92375,4246068,from
92375,4246068,to
92376,4246068,from
92376,4246068,to
92377,4246068,from
92377,4246068,to
92378,4246068,from
92378,4246068,to
92391,4246068,to
92399,9053214,from
92428,9053214,to
92429,54329383,to
92430,54329383,from
92431,4246068,from
92431,4246068,to
92494,54329398,from
92494,54329398,to
92495,54329398,from
92495,54329398,from
92495,54329398,to
92495,54329398,to
92496,54329398,from
92496,54329398,from
92496,54329398,to
92496,54329398,to
92497,54329398,from
92497,54329398,from
92497,54329398,to
92497,54329398,to
92498,54329398,from
92498,54329398,from
92498,54329398,to
92498,54329398,to
92499,54329398,from
92499,54329398,from
92499,54329398,to
92499,54329398,to
92500,54329398,from
92500,54329398,from
92500,54329398,to
92500,54329398,to
92501,4246068,from
92501,54329398,from
92501,54329398,to
92501,4246068,to
92568,9053196,from
92568,9053196,to
92569,9053196,from
92569,9053196,to
92579,4246068,from
92579,4246068,from
92579,4246068,to
92579,4246068,to
92580,4246068,from
92580,4246068,from
92580,4246068,to
92580,4246068,to
92581,4246068,from
92581,4246068,from
92581,4246068,to
92581,4246068,to
92582,4246068,from
92582,4246068,from
92582,4246068,to
92582,4246068,to
92583,4246068,from
92583,4246068,from
92583,4246068,to
92583,4246068,to
92584,4246068,from
92584,4246068,from
92584,4246068,to
92584,4246068,to
92585,4246068,from
92585,4246068,from
92585,4246068,to
92585,4246068,to
92586,4246068,from
92586,4246068,from
92586,4246068,to
92586,4246068,to
92587,4246068,to
92600,4246068,from
92600,4246068,to
92684,9233486,from
92684,9233486,to
92748,9248023,from
92753,9248023,from
92753,9248023,to
92754,9248023,from
92754,9248023,to
92755,9248023,from
92755,9248023,to
92758,9248023,to
92780,9248056,to
92782,9248056,from
92783,9248056,from
92783,9248056,to
92784,9248056,from
92784,9248056,to
92785,54338618,to
92818,54338621,from
92829,54338618,from
92830,54338621,to
92836,54338623,to
92837,54338623,from
92844,9233486,from
92844,9233486,to
92845,9233486,from
92845,9233486,from
92845,9233486,to
92845,9233486,to
92846,9233486,from
